facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,image3_1,image3_2,image3_3,query
"Find information for tourists about Dutchess County, NY.",F0112,127,dutchess county tourism,127_Q04498_556_1.jpg,127_Q04498_556_2.jpg,127_Q04498_556_3.jpg,127_Q04501_559_1.jpg,127_Q04501_559_2.jpg,127_Q04501_559_3.jpg,127_Q04500_558_1.jpg,127_Q04500_558_2.jpg,127_Q04500_558_3.jpg,"Find tourist information about restaurants in Dutchess County, NY."
Find providers of satellite television.,F1067,99,satellite,99_Q05383_1441_1.jpg,99_Q05383_1441_2.jpg,99_Q05383_1441_3.jpg,99_Q01983_2970_1.jpg,99_Q01983_2970_2.jpg,99_Q01983_2970_3.jpg,99_Q01256_1487_1.jpg,99_Q01256_1487_2.jpg,99_Q01256_1487_3.jpg,Finding providers of satellite television services.
Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,104_Q03198_2468_1.jpg,104_Q03198_2468_2.jpg,104_Q03198_2468_3.jpg,104_Q01744_2389_1.jpg,104_Q01744_2389_2.jpg,104_Q01744_2389_3.jpg,104_Q00169_202_1.jpg,104_Q00169_202_2.jpg,104_Q00169_202_3.jpg,The user is interested in child support regulations and resources in Indiana.
What commercial hair dyes are available?,F0534,233,hair dye,233_Q00222_3719_1.jpg,233_Q00222_3719_2.jpg,233_Q00222_3719_3.jpg,233_Q00093_1905_1.jpg,233_Q00093_1905_2.jpg,233_Q00093_1905_3.jpg,233_Q01784_118_1.jpg,233_Q01784_118_2.jpg,233_Q01784_118_3.jpg,Learning about the different types and brands of commercial hair dyes available.
"Find games based on the InuYasha series, either online or for game systems.",F0699,28,inuyasha,28_Q03551_1942_1.jpg,28_Q03551_1942_2.jpg,28_Q03551_1942_3.jpg,28_Q00077_1365_1.jpg,28_Q00077_1365_2.jpg,28_Q00077_1365_3.jpg,28_Q05148_1206_1.jpg,28_Q05148_1206_2.jpg,28_Q05148_1206_3.jpg,The user wants the names of games related to InuYasha.
Is pink slime used in school lunches?,F0764,299,pink slime in ground beef,299_Q01438_1829_1.jpg,299_Q01438_1829_2.jpg,299_Q01438_1829_3.jpg,299_Q04760_818_1.jpg,299_Q04760_818_2.jpg,299_Q04760_818_3.jpg,299_Q02135_2520_1.jpg,299_Q02135_2520_2.jpg,299_Q02135_2520_3.jpg,Find out if pink slime is used in school lunches.
"Find recipes from Starbucks, either for making or using Starbucks products.",F0650,27,starbucks,27_Q04741_799_1.jpg,27_Q04741_799_2.jpg,27_Q04741_799_3.jpg,27_Q01026_251_1.jpg,27_Q01026_251_2.jpg,27_Q01026_251_3.jpg,27_Q00660_277_1.jpg,27_Q00660_277_2.jpg,27_Q00660_277_3.jpg,Looking for recipes from Starbucks for making or using Starbucks products.
Find the homepage of the Tennessee Titans.,F1052,94,titan,94_Q01058_1478_1.jpg,94_Q01058_1478_2.jpg,94_Q01058_1478_3.jpg,94_Q01291_3006_1.jpg,94_Q01291_3006_2.jpg,94_Q01291_3006_3.jpg,94_Q04022_80_1.jpg,94_Q04022_80_2.jpg,94_Q04022_80_3.jpg,Bring up the website for the NFL pro football team the Tennessee Titans.
What is the recommended diet for Barrett's Esophagus?,F0599,254,barrett's esophagus,254_Q03429_2556_1.jpg,254_Q03429_2556_2.jpg,254_Q03429_2556_3.jpg,254_Q03707_997_1.jpg,254_Q03707_997_2.jpg,254_Q03707_997_3.jpg,254_Q00559_26_1.jpg,254_Q00559_26_2.jpg,254_Q00559_26_3.jpg,Get information on the best foods to eat with Barrett's esophagus.
"""What is """"Poem in Your Pocket Day""""?""",F0078,118,poem in your pocket day,118_Q04133_191_1.jpg,118_Q04133_191_2.jpg,118_Q04133_191_3.jpg,118_Q01490_3755_1.jpg,118_Q01490_3755_2.jpg,118_Q01490_3755_3.jpg,118_Q01677_1748_1.jpg,118_Q01677_1748_2.jpg,118_Q01677_1748_3.jpg,"Learn about the significance of ""Poem in Your Pocket Day"" and find printable poems for it."
List online computer programming tutorials.,F0268,166,computer programming,166_Q05270_1328_1.jpg,166_Q05270_1328_2.jpg,166_Q05270_1328_3.jpg,166_Q00631_212_1.jpg,166_Q00631_212_2.jpg,166_Q00631_212_3.jpg,166_Q01173_3544_1.jpg,166_Q01173_3544_2.jpg,166_Q01173_3544_3.jpg,Exploring learning resources and obtaining a list of online computer programming tutorials.
What type of surface treatment products does Jax Chemical Company manufacture?,F0154,138,jax chemical company,138_Q01636_1678_1.jpg,138_Q01636_1678_2.jpg,138_Q01636_1678_3.jpg,138_Q03771_1732_1.jpg,138_Q03771_1732_2.jpg,138_Q03771_1732_3.jpg,138_Q03907_2611_1.jpg,138_Q03907_2611_2.jpg,138_Q03907_2611_3.jpg,Find out more about the type of surface treatment products Jax Chemical Company manufactures.
I'm looking for good flame tattoo designs.,F0848,49,flame designs,49_Q05575_1633_1.jpg,49_Q05575_1633_2.jpg,49_Q05575_1633_3.jpg,49_Q05572_1630_1.jpg,49_Q05572_1630_2.jpg,49_Q05572_1630_3.jpg,49_Q03937_1953_1.jpg,49_Q03937_1953_2.jpg,49_Q03937_1953_3.jpg,Looking for flame tattoo designs.
"home page for East Ridge High School in Chattanooga, Tennessee",F0164,140,east ridge high school,140_Q00820_849_1.jpg,140_Q00820_849_2.jpg,140_Q00820_849_3.jpg,140_Q04843_901_1.jpg,140_Q04843_901_2.jpg,140_Q04843_901_3.jpg,140_Q01689_557_1.jpg,140_Q01689_557_2.jpg,140_Q01689_557_3.jpg,"Check the home page for East Ridge High School in Chattanooga, Tennessee."
What hair dye options should be considered during pregnancy?,F0537,233,hair dye,233_Q02578_276_1.jpg,233_Q02578_276_2.jpg,233_Q02578_276_3.jpg,233_Q05058_1116_1.jpg,233_Q05058_1116_2.jpg,233_Q05058_1116_3.jpg,233_Q00220_702_1.jpg,233_Q00220_702_2.jpg,233_Q00220_702_3.jpg,Exploring safe hair dye application during pregnancy.
Who is eligible for a 403b plan?,F0202,151,403b,151_Q04005_63_1.jpg,151_Q04005_63_2.jpg,151_Q04005_63_3.jpg,151_Q03851_1916_1.jpg,151_Q03851_1916_2.jpg,151_Q03851_1916_3.jpg,151_Q03517_1174_1.jpg,151_Q03517_1174_2.jpg,151_Q03517_1174_3.jpg,The user is interested in understanding the eligibility criteria for a 403b retirement plan.
Find information about worms in nature.,F0908,61,worm,61_Q00346_2421_1.jpg,61_Q00346_2421_2.jpg,61_Q00346_2421_3.jpg,61_Q00261_2582_1.jpg,61_Q00261_2582_2.jpg,61_Q00261_2582_3.jpg,61_Q02046_2311_1.jpg,61_Q02046_2311_2.jpg,61_Q02046_2311_3.jpg,To know which types of worms are most common.
I want to buy a road map of Brazil.,F0052,110,map of brazil,110_Q04969_1027_1.jpg,110_Q04969_1027_2.jpg,110_Q04969_1027_3.jpg,110_Q02748_877_1.jpg,110_Q02748_877_2.jpg,110_Q02748_877_3.jpg,110_Q03829_2093_1.jpg,110_Q03829_2093_2.jpg,110_Q03829_2093_3.jpg,The user is looking for a road map of Brazil.
Which exercises can bring relief from CTS?,F0477,213,carpal tunnel syndrome,213_Q00572_3221_1.jpg,213_Q00572_3221_2.jpg,213_Q00572_3221_3.jpg,213_Q02902_1913_1.jpg,213_Q02902_1913_2.jpg,213_Q02902_1913_3.jpg,213_Q00537_1406_1.jpg,213_Q00537_1406_2.jpg,213_Q00537_1406_3.jpg,Interested in exploring the success rate of recovery after carpal tunnel syndrome surgery and in exercises that bring relief from carpal tunnel syndrome.
What damage can a carpenter bee do to a home or structure?,F0621,259,carpenter bee,259_Q05411_1469_1.jpg,259_Q05411_1469_2.jpg,259_Q05411_1469_3.jpg,259_Q02485_1499_1.jpg,259_Q02485_1499_2.jpg,259_Q02485_1499_3.jpg,259_Q02520_319_1.jpg,259_Q02520_319_2.jpg,259_Q02520_319_3.jpg,The user is interested in understanding how the behavior of carpenter bees might affect homes or structures and how harmful they can be.
Find puppies of designer dog breeds for sale.,F0388,194,designer dog breeds,194_Q04914_972_1.jpg,194_Q04914_972_2.jpg,194_Q04914_972_3.jpg,194_Q02301_1767_1.jpg,194_Q02301_1767_2.jpg,194_Q02301_1767_3.jpg,194_Q00110_3031_1.jpg,194_Q00110_3031_2.jpg,194_Q00110_3031_3.jpg,The user is interested in finding puppies of specific designer dog breeds for sale.
Find the causes of CTS.,F0476,213,carpal tunnel syndrome,213_Q00815_488_1.jpg,213_Q00815_488_2.jpg,213_Q00815_488_3.jpg,213_Q00969_341_1.jpg,213_Q00969_341_2.jpg,213_Q00969_341_3.jpg,213_Q05615_1673_1.jpg,213_Q05615_1673_2.jpg,213_Q05615_1673_3.jpg,Understanding the causes of carpal tunnel syndrome.
Find music that featured on the show ER.,F1037,91,er tv show,91_Q02462_301_1.jpg,91_Q02462_301_2.jpg,91_Q02462_301_3.jpg,91_Q00398_3206_1.jpg,91_Q00398_3206_2.jpg,91_Q00398_3206_3.jpg,91_Q02362_3019_1.jpg,91_Q02362_3019_2.jpg,91_Q02362_3019_3.jpg,"Obtain a list of all the music played on the ""ER"" TV show."
What methods were used for the recovery of the USS Cole?,F0680,275,uss cole,275_Q04034_92_1.jpg,275_Q04034_92_2.jpg,275_Q04034_92_3.jpg,275_Q04035_93_1.jpg,275_Q04035_93_2.jpg,275_Q04035_93_3.jpg,275_Q03471_1267_1.jpg,275_Q03471_1267_2.jpg,275_Q03471_1267_3.jpg,Learn about the recovery and repair methods used for the USS Cole.
Find the homepage for Mitchell College.,F0852,5,mitchell college,5_Q04403_461_1.jpg,5_Q04403_461_2.jpg,5_Q04403_461_3.jpg,5_Q00945_2798_1.jpg,5_Q00945_2798_2.jpg,5_Q00945_2798_3.jpg,5_Q04404_462_1.jpg,5_Q04404_462_2.jpg,5_Q04404_462_3.jpg,Finding the homepage and tuition rates of Mitchell College.
Who's in the cast of the Doctor Zhivago movie?,F0448,208,doctor zhivago,208_Q04314_372_1.jpg,208_Q04314_372_2.jpg,208_Q04314_372_3.jpg,208_Q01483_1144_1.jpg,208_Q01483_1144_2.jpg,208_Q01483_1144_3.jpg,208_Q01249_3622_1.jpg,208_Q01249_3622_2.jpg,208_Q01249_3622_3.jpg,"Learn more about the 1965 film adaptation of Doctor Zhivago, including its cast and accolades."
What commercial hair dyes are available?,F0534,233,hair dye,233_Q00221_2957_1.jpg,233_Q00221_2957_2.jpg,233_Q00221_2957_3.jpg,233_Q01663_2196_1.jpg,233_Q01663_2196_2.jpg,233_Q01663_2196_3.jpg,233_Q01152_987_1.jpg,233_Q01152_987_2.jpg,233_Q01152_987_3.jpg,"The user's intent is to explore and find out about commercial hair dye brands, specifically those shown in the provided pictures."
What diet should a person with Wilson's disease follow?,F0668,273,wilson's disease,273_Q04961_1019_1.jpg,273_Q04961_1019_2.jpg,273_Q04961_1019_3.jpg,273_Q03404_2489_1.jpg,273_Q03404_2489_2.jpg,273_Q03404_2489_3.jpg,273_Q02938_291_1.jpg,273_Q02938_291_2.jpg,273_Q02938_291_3.jpg,The user is interested in dietary recommendations specifically tailored for Wilson's disease.
I want to find cheap DSL providers.,F0008,10,cheap internet,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,Looking for cheap DSL providers.
What causes the heart to beat faster or slower?,F0624,26,lower heart rate,26_Q04482_540_1.jpg,26_Q04482_540_2.jpg,26_Q04482_540_3.jpg,26_Q03342_1766_1.jpg,26_Q03342_1766_2.jpg,26_Q03342_1766_3.jpg,26_Q01193_697_1.jpg,26_Q01193_697_2.jpg,26_Q01193_697_3.jpg,The user is planning to run or exercise.
What are the requirements to become a Tennessee Highway Patrol State Trooper?,F0197,150,tn highway patrol,150_Q04410_468_1.jpg,150_Q04410_468_2.jpg,150_Q04410_468_3.jpg,150_Q00262_1496_1.jpg,150_Q00262_1496_2.jpg,150_Q00262_1496_3.jpg,150_Q04407_465_1.jpg,150_Q04407_465_2.jpg,150_Q04407_465_3.jpg,Understanding the qualifications and job requirements for a role in the Tennessee Highway Patrol.
I'm looking for locations of Starbucks stores worldwide.,F0651,27,starbucks,27_Q04743_801_1.jpg,27_Q04743_801_2.jpg,27_Q04743_801_3.jpg,27_Q00660_277_1.jpg,27_Q00660_277_2.jpg,27_Q00660_277_3.jpg,27_Q04745_803_1.jpg,27_Q04745_803_2.jpg,27_Q04745_803_3.jpg,Finding worldwide locations of Starbucks and learning about Starbucks benefits.
"Find recipes for rice, for example fried rice or rice pudding.",F1053,96,rice,96_Q02090_1647_1.jpg,96_Q02090_1647_2.jpg,96_Q02090_1647_3.jpg,96_Q05151_1209_1.jpg,96_Q05151_1209_2.jpg,96_Q05151_1209_3.jpg,96_Q02928_2140_1.jpg,96_Q02928_2140_2.jpg,96_Q02928_2140_3.jpg,"Finding recipes for rice dishes, such as fried rice or rice pudding."
What are the treatment options for BPH (benign prostatic hyperplasia)?,F0438,207,bph treatment,207_Q00860_573_1.jpg,207_Q00860_573_2.jpg,207_Q00860_573_3.jpg,207_Q03368_1442_1.jpg,207_Q03368_1442_2.jpg,207_Q03368_1442_3.jpg,207_Q00617_2124_1.jpg,207_Q00617_2124_2.jpg,207_Q00617_2124_3.jpg,The user wants to know the treatment options for BHP in dogs.
good places to sell a used trombone,F0176,144,trombone for sale,144_Q00482_3586_1.jpg,144_Q00482_3586_2.jpg,144_Q00482_3586_3.jpg,144_Q00655_972_1.jpg,144_Q00655_972_2.jpg,144_Q00655_972_3.jpg,144_Q01115_2529_1.jpg,144_Q01115_2529_2.jpg,144_Q01115_2529_3.jpg,Looking for good places to sell a used trombone.
How does yoga benefit runners?,F0727,289,benefits of yoga,289_Q00317_3884_1.jpg,289_Q00317_3884_2.jpg,289_Q00317_3884_3.jpg,289_Q01566_1746_1.jpg,289_Q01566_1746_2.jpg,289_Q01566_1746_3.jpg,289_Q03045_2972_1.jpg,289_Q03045_2972_2.jpg,289_Q03045_2972_3.jpg,Learn about the benefits of yoga for runners.
"What K-12 schools are in Porterville, CA?",F0233,159,porterville,159_Q01456_171_1.jpg,159_Q01456_171_2.jpg,159_Q01456_171_3.jpg,159_Q05528_1586_1.jpg,159_Q05528_1586_2.jpg,159_Q05528_1586_3.jpg,159_Q00379_1833_1.jpg,159_Q00379_1833_2.jpg,159_Q00379_1833_3.jpg,"Finding information about K-12 schools in Porterville, CA."
Find an online source for Volvo parts.,F0460,21,volvo,21_Q00564_182_1.jpg,21_Q00564_182_2.jpg,21_Q00564_182_3.jpg,21_Q02644_3303_1.jpg,21_Q02644_3303_2.jpg,21_Q02644_3303_3.jpg,21_Q01141_237_1.jpg,21_Q01141_237_2.jpg,21_Q01141_237_3.jpg,The user is interested in finding and buying Volvo parts online.
Find InuYasha anime episodes for download.,F0698,28,inuyasha,28_Q00077_1365_1.jpg,28_Q00077_1365_2.jpg,28_Q00077_1365_3.jpg,28_Q05147_1205_1.jpg,28_Q05147_1205_2.jpg,28_Q05147_1205_3.jpg,28_Q03022_2296_1.jpg,28_Q03022_2296_2.jpg,28_Q03022_2296_3.jpg,The user is interested in finding and downloading specific episodes of the InuYasha anime series.
"Find the homepage for the U.K. newspaper, The Sun.",F0954,72,the sun,72_Q02028_1272_1.jpg,72_Q02028_1272_2.jpg,72_Q02028_1272_3.jpg,72_Q00865_1342_1.jpg,72_Q00865_1342_2.jpg,72_Q00865_1342_3.jpg,72_Q01087_200_1.jpg,72_Q01087_200_2.jpg,72_Q01087_200_3.jpg,"Looking for the homepage of the newspaper ""The Sun."""
Is pink slime used in school lunches?,F0764,299,pink slime in ground beef,299_Q04756_814_1.jpg,299_Q04756_814_2.jpg,299_Q04756_814_3.jpg,299_Q03149_681_1.jpg,299_Q03149_681_2.jpg,299_Q03149_681_3.jpg,299_Q03911_1586_1.jpg,299_Q03911_1586_2.jpg,299_Q03911_1586_3.jpg,The user is interested in knowing if pink slime is used in school lunches.
Where can I buy teddy bears wholesale?,F0608,255,teddy bears,255_Q00094_1640_1.jpg,255_Q00094_1640_2.jpg,255_Q00094_1640_3.jpg,255_Q04232_290_1.jpg,255_Q04232_290_2.jpg,255_Q04232_290_3.jpg,255_Q03072_1141_1.jpg,255_Q03072_1141_2.jpg,255_Q03072_1141_3.jpg,The user intends to find information on where to make bulk purchases of teddy bears from a retail business that sells them wholesale.
What are the treatment options for BPH (benign prostatic hyperplasia)?,F0438,207,bph treatment,207_Q03627_328_1.jpg,207_Q03627_328_2.jpg,207_Q03627_328_3.jpg,207_Q01676_47_1.jpg,207_Q01676_47_2.jpg,207_Q01676_47_3.jpg,207_Q00520_3631_1.jpg,207_Q00520_3631_2.jpg,207_Q00520_3631_3.jpg,Interested in treatment options for BPH (benign prostatic hyperplasia).
Find information on the history of rock and roll music.,F1013,87,who invented music,87_Q03389_3435_1.jpg,87_Q03389_3435_2.jpg,87_Q03389_3435_3.jpg,87_Q01839_2362_1.jpg,87_Q01839_2362_2.jpg,87_Q01839_2362_3.jpg,87_Q02288_1476_1.jpg,87_Q02288_1476_2.jpg,87_Q02288_1476_3.jpg,History of rock and roll music.
"Take me to the homepage of the College Board, authors of the SAT.",F1064,98,sat,98_Q03426_2747_1.jpg,98_Q03426_2747_2.jpg,98_Q03426_2747_3.jpg,98_Q04056_114_1.jpg,98_Q04056_114_2.jpg,98_Q04056_114_3.jpg,98_Q04057_115_1.jpg,98_Q04057_115_2.jpg,98_Q04057_115_3.jpg,Access the homepage of the College Board.
"What are some injuries or diseases of hooves in horses, and how are they treated?",F0860,51,horse hooves,51_Q00876_2146_1.jpg,51_Q00876_2146_2.jpg,51_Q00876_2146_3.jpg,51_Q00899_442_1.jpg,51_Q00899_442_2.jpg,51_Q00899_442_3.jpg,51_Q02864_3223_1.jpg,51_Q02864_3223_2.jpg,51_Q02864_3223_3.jpg,The user is focused on learning about hoof injuries and diseases in horses and their treatments.
"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,1_Q05591_1649_1.jpg,1_Q05591_1649_2.jpg,1_Q05591_1649_3.jpg,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,"The user is interested in viewing the TIME magazine photo essay ""Barack Obama's Family Tree"" with pictures."
Where can I buy teddy bears wholesale?,F0608,255,teddy bears,255_Q02496_2060_1.jpg,255_Q02496_2060_2.jpg,255_Q02496_2060_3.jpg,255_Q04229_287_1.jpg,255_Q04229_287_2.jpg,255_Q04229_287_3.jpg,255_Q00845_3375_1.jpg,255_Q00845_3375_2.jpg,255_Q00845_3375_3.jpg,Buying wholesale teddy bears.
I'd like to find guides and outfitters for hunting trips in Arizona.,F0241,16,arizona game and fish,16_Q05099_1157_1.jpg,16_Q05099_1157_2.jpg,16_Q05099_1157_3.jpg,16_Q03854_3451_1.jpg,16_Q03854_3451_2.jpg,16_Q03854_3451_3.jpg,16_Q03134_1795_1.jpg,16_Q03134_1795_2.jpg,16_Q03134_1795_3.jpg,Explore guided hunting trips in Arizona with an outfitter.
"Find information about the Sun, the star in our Solar System.",F0953,72,the sun,72_Q00501_2214_1.jpg,72_Q00501_2214_2.jpg,72_Q00501_2214_3.jpg,72_Q02039_2527_1.jpg,72_Q02039_2527_2.jpg,72_Q02039_2527_3.jpg,72_Q00877_1014_1.jpg,72_Q00877_1014_2.jpg,72_Q00877_1014_3.jpg,Looking for information about the size of the Sun.
