id,facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,query
11,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,1_Q05592_1650_1.jpg,1_Q05592_1650_2.jpg,1_Q05592_1650_3.jpg,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,The user is seeking information about Obama's family background.
12,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,1_Q03023_362_1.jpg,1_Q03023_362_2.jpg,1_Q03023_362_3.jpg,The user is interested in finding information about someone's family background.
13,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q00309_3635_1.jpg,10_Q00309_3635_2.jpg,10_Q00309_3635_3.jpg,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg,Explore affordable internet providers.
14,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,Explore affordable internet packages.
15,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,Exploring affordable internet services.
16,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q02654_434_1.jpg,10_Q02654_434_2.jpg,10_Q02654_434_3.jpg,The user might look into options for cheap internet later.
17,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,Exploring options for affordable internet services.
18,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,Exploring options for cheap internet plans.
19,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,No intent expressed.
20,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,The user is looking for the most affordable internet service providers.
21,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,Seek information about companies offering affordable internet services.
22,Do any internet providers still sell dial-up?,F0005,10,cheap internet,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,10_Q01144_1362_1.jpg,10_Q01144_1362_2.jpg,10_Q01144_1362_3.jpg,The user is not looking for any bundles or deals.
23,Do any internet providers still sell dial-up?,F0005,10,cheap internet,10_Q02654_434_1.jpg,10_Q02654_434_2.jpg,10_Q02654_434_3.jpg,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,Exploring available internet options.
24,Do any internet providers still sell dial-up?,F0005,10,cheap internet,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,10_Q01435_3289_1.jpg,10_Q01435_3289_2.jpg,10_Q01435_3289_3.jpg,"Explore low-cost internet service options from various companies, including lesser-known providers."
25,Do any internet providers still sell dial-up?,F0005,10,cheap internet,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,The user is exploring options for bundles or deals.
26,Do any internet providers still sell dial-up?,F0005,10,cheap internet,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,Opting out of bundles or deals.
27,Do any internet providers still sell dial-up?,F0005,10,cheap internet,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,10_Q01435_3289_1.jpg,10_Q01435_3289_2.jpg,10_Q01435_3289_3.jpg,Exploring affordable internet service providers.
28,Do any internet providers still sell dial-up?,F0005,10,cheap internet,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,10_Q02654_434_1.jpg,10_Q02654_434_2.jpg,10_Q02654_434_3.jpg,The user is trying to find out who used cheap internet.
29,Who can provide inexpensive digital cable television bundled with internet service?,F0006,10,cheap internet,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,Explore options for bundled services.
30,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,10_Q01520_3307_1.jpg,10_Q01520_3307_2.jpg,10_Q01520_3307_3.jpg,Exploring options for reliable internet access.
31,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q02513_2721_1.jpg,10_Q02513_2721_2.jpg,10_Q02513_2721_3.jpg,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg,Find free internet options.
32,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,Exploring internet access options.
33,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,10_Q00309_3635_1.jpg,10_Q00309_3635_2.jpg,10_Q00309_3635_3.jpg,Access the internet without incurring costs.
34,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q01520_3307_1.jpg,10_Q01520_3307_2.jpg,10_Q01520_3307_3.jpg,10_Q02654_434_1.jpg,10_Q02654_434_2.jpg,10_Q02654_434_3.jpg,Explore options for phone connectivity services.
35,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg,Exploring options for free internet access.
36,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,10_Q01520_3307_1.jpg,10_Q01520_3307_2.jpg,10_Q01520_3307_3.jpg,Finding reliable and affordable internet options.
37,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,10_Q02513_2721_1.jpg,10_Q02513_2721_2.jpg,10_Q02513_2721_3.jpg,The user's intent is to find affordable internet options.
38,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,Finding options for free internet access.
39,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg,Accessing internet options.
40,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,10_Q05638_1696_1.jpg,10_Q05638_1696_2.jpg,10_Q05638_1696_3.jpg,Explore options for accessing free internet services.
41,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,Exploring options for affordable wireless internet access.
42,Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg,Exploring options for accessible internet connections.
43,I want to find cheap DSL providers.,F0008,10,cheap internet,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,10_Q02513_2721_1.jpg,10_Q02513_2721_2.jpg,10_Q02513_2721_3.jpg,Explore options for affordable internet services.
44,I want to find cheap DSL providers.,F0008,10,cheap internet,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,Finding affordable internet service options.
45,I want to find cheap DSL providers.,F0008,10,cheap internet,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,Exploring low-cost internet service providers.
46,I want to find cheap DSL providers.,F0008,10,cheap internet,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,Explore options for affordable internet services.
47,I want to find cheap DSL providers.,F0008,10,cheap internet,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,Exploring options for internet services.
48,Is there a way to get internet access without phone service?,F0009,10,cheap internet,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,Explore affordable internet service providers.
49,Is there a way to get internet access without phone service?,F0009,10,cheap internet,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,Exploring options for affordable internet service.
50,Is there a way to get internet access without phone service?,F0009,10,cheap internet,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,Evaluating options for internet access.
51,Is there a way to get internet access without phone service?,F0009,10,cheap internet,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,10_Q01144_1362_1.jpg,10_Q01144_1362_2.jpg,10_Q01144_1362_3.jpg,Exploring options for accessing the internet without traditional phone services.
52,Is there a way to get internet access without phone service?,F0009,10,cheap internet,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,Exploring options for cheap items online.
53,Is there a way to get internet access without phone service?,F0009,10,cheap internet,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,Explore options for finding cheap items on the internet.
54,Is there a way to get internet access without phone service?,F0009,10,cheap internet,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,Exploring internet access options without traditional phone services.
55,Is there a way to get internet access without phone service?,F0009,10,cheap internet,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,10_Q01144_1362_1.jpg,10_Q01144_1362_2.jpg,10_Q01144_1362_3.jpg,Exploring options for finding cheap items on the internet.
56,Is there a way to get internet access without phone service?,F0009,10,cheap internet,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,No interest in cheap internet plans news.
57,Find information about the Ritz Carlton resort at Lake Las Vegas.,F0010,101,ritz carlton lake las vegas,101_Q01397_1043_1.jpg,101_Q01397_1043_2.jpg,101_Q01397_1043_3.jpg,101_Q04390_448_1.jpg,101_Q04390_448_2.jpg,101_Q04390_448_3.jpg,The user is interested in gathering detailed information about the Ritz Carlton at Lake Las Vegas.
58,Find information about the Ritz Carlton resort at Lake Las Vegas.,F0010,101,ritz carlton lake las vegas,101_Q04388_446_1.jpg,101_Q04388_446_2.jpg,101_Q04388_446_3.jpg,101_Q04387_445_1.jpg,101_Q04387_445_2.jpg,101_Q04387_445_3.jpg,Explore hotel room options by the Ritz Carlton Lake in Las Vegas in the future.
59,Find a site where I can determine room price and availability.,F0011,101,ritz carlton lake las vegas,101_Q01055_2046_1.jpg,101_Q01055_2046_2.jpg,101_Q01055_2046_3.jpg,101_Q04392_450_1.jpg,101_Q04392_450_2.jpg,101_Q04392_450_3.jpg,Find a website that provides information on pricing and availability at the Ritz-Carlton in Las Vegas.
60,Find a site where I can determine room price and availability.,F0011,101,ritz carlton lake las vegas,101_Q04387_445_1.jpg,101_Q04387_445_2.jpg,101_Q04387_445_3.jpg,101_Q01457_425_1.jpg,101_Q01457_425_2.jpg,101_Q01457_425_3.jpg,Exploring options.
61,Find a site where I can determine room price and availability.,F0011,101,ritz carlton lake las vegas,101_Q04387_445_1.jpg,101_Q04387_445_2.jpg,101_Q04387_445_3.jpg,101_Q01457_425_1.jpg,101_Q01457_425_2.jpg,101_Q01457_425_3.jpg,Check prices and availability for a specific place.
62,Find directions to the Ritz Carlton Lake Las Vegas.,F0012,101,ritz carlton lake las vegas,101_Q01457_425_1.jpg,101_Q01457_425_2.jpg,101_Q01457_425_3.jpg,101_Q01401_2260_1.jpg,101_Q01401_2260_2.jpg,101_Q01401_2260_3.jpg,The user is interested in getting specific directions to the Ritz Carlton in Las Vegas.
63,Find directions to the Ritz Carlton Lake Las Vegas.,F0012,101,ritz carlton lake las vegas,101_Q04390_448_1.jpg,101_Q04390_448_2.jpg,101_Q04390_448_3.jpg,101_Q01457_425_1.jpg,101_Q01457_425_2.jpg,101_Q01457_425_3.jpg,Finding directions and exploring information about the Las Vegas area.
64,Find reviews of the Ritz Carlton Lake Las Vegas.,F0013,101,ritz carlton lake las vegas,101_Q03282_259_1.jpg,101_Q03282_259_2.jpg,101_Q03282_259_3.jpg,101_Q03582_2711_1.jpg,101_Q03582_2711_2.jpg,101_Q03582_2711_3.jpg,Find reviews of the Ritz Carlton Lake Las Vegas.
65,Find reviews of the Ritz Carlton Lake Las Vegas.,F0013,101,ritz carlton lake las vegas,101_Q04392_450_1.jpg,101_Q04392_450_2.jpg,101_Q04392_450_3.jpg,101_Q04387_445_1.jpg,101_Q04387_445_2.jpg,101_Q04387_445_3.jpg,Read guest experiences and feedback about the Ritz Carlton in Las Vegas.
66,"Where is Fickle Creek Farm, and how can I go there?",F0015,102,fickle creek farm,102_Q04101_159_1.jpg,102_Q04101_159_2.jpg,102_Q04101_159_3.jpg,102_Q02174_1782_1.jpg,102_Q02174_1782_2.jpg,102_Q02174_1782_3.jpg,Not interested in sustainable farming information at the moment.
67,What products do they grow and/or raise there?,F0016,102,fickle creek farm,102_Q04104_162_1.jpg,102_Q04104_162_2.jpg,102_Q04104_162_3.jpg,102_Q04105_163_1.jpg,102_Q04105_163_2.jpg,102_Q04105_163_3.jpg,The user is exploring ideas.
68,Find information about staying at the bed and breakfast at Fickle Creek Farm.,F0018,102,fickle creek farm,102_Q00656_3766_1.jpg,102_Q00656_3766_2.jpg,102_Q00656_3766_3.jpg,102_Q02217_2884_1.jpg,102_Q02217_2884_2.jpg,102_Q02217_2884_3.jpg,Finding a place to stay.
69,Find information about staying at the bed and breakfast at Fickle Creek Farm.,F0018,102,fickle creek farm,102_Q00656_3766_1.jpg,102_Q00656_3766_2.jpg,102_Q00656_3766_3.jpg,102_Q04101_159_1.jpg,102_Q04101_159_2.jpg,102_Q04101_159_3.jpg,Finding a place to stay.
70,Find information about staying at the bed and breakfast at Fickle Creek Farm.,F0018,102,fickle creek farm,102_Q04102_160_1.jpg,102_Q04102_160_2.jpg,102_Q04102_160_3.jpg,102_Q00878_2779_1.jpg,102_Q00878_2779_2.jpg,102_Q00878_2779_3.jpg,Information about accommodations at Fickle Creek Farm.
71,Find historical information about Madam C. J. Walker.,F0019,103,madam cj walker,103_Q01003_2301_1.jpg,103_Q01003_2301_2.jpg,103_Q01003_2301_3.jpg,103_Q02291_2998_1.jpg,103_Q02291_2998_2.jpg,103_Q02291_2998_3.jpg,The user is interested in gathering historical context.
72,Find historical information about Madam C. J. Walker.,F0019,103,madam cj walker,103_Q03860_3723_1.jpg,103_Q03860_3723_2.jpg,103_Q03860_3723_3.jpg,103_Q02290_1055_1.jpg,103_Q02290_1055_2.jpg,103_Q02290_1055_3.jpg,Learning about notable figures in African American history.
73,Find historical information about Madam C. J. Walker.,F0019,103,madam cj walker,103_Q03860_3723_1.jpg,103_Q03860_3723_2.jpg,103_Q03860_3723_3.jpg,103_Q02290_1055_1.jpg,103_Q02290_1055_2.jpg,103_Q02290_1055_3.jpg,Learning about a specific early African American entrepreneur and their impact.
74,Find historical information about Madam C. J. Walker.,F0019,103,madam cj walker,103_Q03397_3092_1.jpg,103_Q03397_3092_2.jpg,103_Q03397_3092_3.jpg,103_Q05483_1541_1.jpg,103_Q05483_1541_2.jpg,103_Q05483_1541_3.jpg,Learn about Madam C.J. Walker's contributions and impact.
75,Find historical information about Madam C. J. Walker.,F0019,103,madam cj walker,103_Q03842_1755_1.jpg,103_Q03842_1755_2.jpg,103_Q03842_1755_3.jpg,103_Q03397_3092_1.jpg,103_Q03397_3092_2.jpg,103_Q03397_3092_3.jpg,Learn about Madam C.J. Walker's early life.
76,Find information about the business that C. J. Walker started.,F0020,103,madam cj walker,103_Q03841_315_1.jpg,103_Q03841_315_2.jpg,103_Q03841_315_3.jpg,103_Q02290_1055_1.jpg,103_Q02290_1055_2.jpg,103_Q02290_1055_3.jpg,Understand the historical influence of C. J. Walker on present-day hair styling trends.
77,Find information about the business that C. J. Walker started.,F0020,103,madam cj walker,103_Q01003_2301_1.jpg,103_Q01003_2301_2.jpg,103_Q01003_2301_3.jpg,103_Q03436_1241_1.jpg,103_Q03436_1241_2.jpg,103_Q03436_1241_3.jpg,The user is interested in learning about a specific business venture related to Sarah Breedlove.
78,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,103_Q03860_3723_1.jpg,103_Q03860_3723_2.jpg,103_Q03860_3723_3.jpg,103_Q03397_3092_1.jpg,103_Q03397_3092_2.jpg,103_Q03397_3092_3.jpg,Understanding more about early African American entrepreneurs and their contributions.
79,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,103_Q05485_1543_1.jpg,103_Q05485_1543_2.jpg,103_Q05485_1543_3.jpg,103_Q05483_1541_1.jpg,103_Q05483_1541_2.jpg,103_Q05483_1541_3.jpg,Learning about Madam C.J. Walker's impact on political and social issues.
80,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,103_Q03581_2127_1.jpg,103_Q03581_2127_2.jpg,103_Q03581_2127_3.jpg,103_Q00744_431_1.jpg,103_Q00744_431_2.jpg,103_Q00744_431_3.jpg,Learn about Madam C.J. Walker's actions and contributions regarding the social and economic issues of her time.
81,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,103_Q05486_1544_1.jpg,103_Q05486_1544_2.jpg,103_Q05486_1544_3.jpg,103_Q05484_1542_1.jpg,103_Q05484_1542_2.jpg,103_Q05484_1542_3.jpg,Learning about the impact and contributions of a self-made millionaire to important social issues of her time.
82,Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,104_Q05212_1270_1.jpg,104_Q05212_1270_2.jpg,104_Q05212_1270_3.jpg,104_Q00075_3007_1.jpg,104_Q00075_3007_2.jpg,104_Q00075_3007_3.jpg,Prioritize other resources over Indiana child support forms.
83,Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,104_Q02467_3196_1.jpg,104_Q02467_3196_2.jpg,104_Q02467_3196_3.jpg,104_Q05212_1270_1.jpg,104_Q05212_1270_2.jpg,104_Q05212_1270_3.jpg,"Looking for information and guidance on legal processes, specifically child support laws."
84,Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,104_Q02467_3196_1.jpg,104_Q02467_3196_2.jpg,104_Q02467_3196_3.jpg,104_Q00075_3007_1.jpg,104_Q00075_3007_2.jpg,104_Q00075_3007_3.jpg,Understanding the regulations of child support laws.
85,Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,104_Q03198_2468_1.jpg,104_Q03198_2468_2.jpg,104_Q03198_2468_3.jpg,104_Q01744_2389_1.jpg,104_Q01744_2389_2.jpg,104_Q01744_2389_3.jpg,The user is seeking information about the rules for paying child support in a specific state.
86,Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,104_Q01744_2389_1.jpg,104_Q01744_2389_2.jpg,104_Q01744_2389_3.jpg,104_Q00248_2000_1.jpg,104_Q00248_2000_2.jpg,104_Q00248_2000_3.jpg,Understand child support obligations in Indiana.
87,Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,104_Q03198_2468_1.jpg,104_Q03198_2468_2.jpg,104_Q03198_2468_3.jpg,104_Q01744_2389_1.jpg,104_Q01744_2389_2.jpg,104_Q01744_2389_3.jpg,Inquire about the rules for child support in Indiana.
88,Help me calculate my child support obligation in Indiana.,F0023,104,indiana child support,104_Q05208_1266_1.jpg,104_Q05208_1266_2.jpg,104_Q05208_1266_3.jpg,104_Q05211_1269_1.jpg,104_Q05211_1269_2.jpg,104_Q05211_1269_3.jpg,Understand their obligations related to child support in Indiana.
89,Help me calculate my child support obligation in Indiana.,F0023,104,indiana child support,104_Q05208_1266_1.jpg,104_Q05208_1266_2.jpg,104_Q05208_1266_3.jpg,104_Q05211_1269_1.jpg,104_Q05211_1269_2.jpg,104_Q05211_1269_3.jpg,Understanding child support obligations in Indiana.
90,Find law firms that offer services relevant to child support in Indiana.,F0024,104,indiana child support,104_Q05210_1268_1.jpg,104_Q05210_1268_2.jpg,104_Q05210_1268_3.jpg,104_Q03015_1214_1.jpg,104_Q03015_1214_2.jpg,104_Q03015_1214_3.jpg,Seeking information on legal services related to child support in Indiana.
91,Find law firms that offer services relevant to child support in Indiana.,F0024,104,indiana child support,104_Q05210_1268_1.jpg,104_Q05210_1268_2.jpg,104_Q05210_1268_3.jpg,104_Q00075_3007_1.jpg,104_Q00075_3007_2.jpg,104_Q00075_3007_3.jpg,Learn about available services related to child support in Indiana.
92,Find law firms that offer services relevant to child support in Indiana.,F0024,104,indiana child support,104_Q05210_1268_1.jpg,104_Q05210_1268_2.jpg,104_Q05210_1268_3.jpg,104_Q00075_3007_1.jpg,104_Q00075_3007_2.jpg,104_Q00075_3007_3.jpg,Looking for information related to child support services in Indiana.
93,Find law firms that offer services relevant to child support in Indiana.,F0024,104,indiana child support,104_Q03163_2095_1.jpg,104_Q03163_2095_2.jpg,104_Q03163_2095_3.jpg,104_Q02467_3196_1.jpg,104_Q02467_3196_2.jpg,104_Q02467_3196_3.jpg,Exploring options related to child support services.
