facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,image3_1,image3_2,image3_3,query
What are the best elliptical trainers for home use?,F0786,33,elliptical trainer,33_Q01844_2810_1.jpg,33_Q01844_2810_2.jpg,33_Q01844_2810_3.jpg,33_Q00766_936_1.jpg,33_Q00766_936_2.jpg,33_Q00766_936_3.jpg,33_Q01868_1106_1.jpg,33_Q01868_1106_2.jpg,33_Q01868_1106_3.jpg,The user is not interested in receiving more information about the benefits of an elliptical trainer.
Find information about classic Atari games.,F0776,31,atari,31_Q00145_2334_1.jpg,31_Q00145_2334_2.jpg,31_Q00145_2334_3.jpg,31_Q00162_1301_1.jpg,31_Q00162_1301_2.jpg,31_Q00162_1301_3.jpg,31_Q05561_1619_1.jpg,31_Q05561_1619_2.jpg,31_Q05561_1619_3.jpg,Information about the Atari brand.
Where can I buy teddy bears wholesale?,F0608,255,teddy bears,255_Q04229_287_1.jpg,255_Q04229_287_2.jpg,255_Q04229_287_3.jpg,255_Q04230_288_1.jpg,255_Q04230_288_2.jpg,255_Q04230_288_3.jpg,255_Q04228_286_1.jpg,255_Q04228_286_2.jpg,255_Q04228_286_3.jpg,The user is not interested in build a bears.
"Find information on KCS Energy, Inc., and their merger with Petrohawk Energy Corporation.",F0900,6,kcs,6_Q04304_362_1.jpg,6_Q04304_362_2.jpg,6_Q04304_362_3.jpg,6_Q00923_2454_1.jpg,6_Q00923_2454_2.jpg,6_Q00923_2454_3.jpg,6_Q00101_1297_1.jpg,6_Q00101_1297_2.jpg,6_Q00101_1297_3.jpg,The user is not interested in seeing photos of the KCS freight engine.
What albums did the Beatles release?,F0227,157,the beatles rock band,157_Q04176_234_1.jpg,157_Q04176_234_2.jpg,157_Q04176_234_3.jpg,157_Q04173_231_1.jpg,157_Q04173_231_2.jpg,157_Q04173_231_3.jpg,157_Q03226_3679_1.jpg,157_Q03226_3679_2.jpg,157_Q03226_3679_3.jpg,No specific intent.
Locate information about teddy bears by Steiff.,F0607,255,teddy bears,255_Q02496_2060_1.jpg,255_Q02496_2060_2.jpg,255_Q02496_2060_3.jpg,255_Q02806_5_1.jpg,255_Q02806_5_2.jpg,255_Q02806_5_3.jpg,255_Q00092_503_1.jpg,255_Q00092_503_2.jpg,255_Q00092_503_3.jpg,The user's intent is to find information about teddy bears by Steiff.
Where can I buy radio-controlled planes?,F0261,164,hobby stores,164_Q02629_357_1.jpg,164_Q02629_357_2.jpg,164_Q02629_357_3.jpg,164_Q02836_688_1.jpg,164_Q02836_688_2.jpg,164_Q02836_688_3.jpg,164_Q00659_1206_1.jpg,164_Q00659_1206_2.jpg,164_Q00659_1206_3.jpg,Determine if it's for a school event or project.
Find biographical information about former Secretary of State Condoleeza Rice.,F1055,96,rice,96_Q05152_1210_1.jpg,96_Q05152_1210_2.jpg,96_Q05152_1210_3.jpg,96_Q02090_1647_1.jpg,96_Q02090_1647_2.jpg,96_Q02090_1647_3.jpg,96_Q02197_29_1.jpg,96_Q02197_29_2.jpg,96_Q02197_29_3.jpg,No specific intent detected.
"Find information on the Hallmark Visitors Center in Kansas City, MO.",F0351,183,kansas city mo,183_Q04897_955_1.jpg,183_Q04897_955_2.jpg,183_Q04897_955_3.jpg,183_Q04896_954_1.jpg,183_Q04896_954_2.jpg,183_Q04896_954_3.jpg,183_Q00776_2967_1.jpg,183_Q00776_2967_2.jpg,183_Q00776_2967_3.jpg,The user does not want to see a map right now.
What jobs are available at French Lick Casino and Resort?,F0408,2,french lick resort and casino,2_Q00211_1641_1.jpg,2_Q00211_1641_2.jpg,2_Q00211_1641_3.jpg,2_Q01876_1987_1.jpg,2_Q01876_1987_2.jpg,2_Q01876_1987_3.jpg,2_Q00777_2667_1.jpg,2_Q00777_2667_2.jpg,2_Q00777_2667_3.jpg,To gather information about French Lick Resort and Casino.
"Find information for tourists about Dutchess County, NY.",F0112,127,dutchess county tourism,127_Q04498_556_1.jpg,127_Q04498_556_2.jpg,127_Q04498_556_3.jpg,127_Q04501_559_1.jpg,127_Q04501_559_2.jpg,127_Q04501_559_3.jpg,127_Q04500_558_1.jpg,127_Q04500_558_2.jpg,127_Q04500_558_3.jpg,Looking for tourist information.
Find providers of satellite television.,F1067,99,satellite,99_Q05383_1441_1.jpg,99_Q05383_1441_2.jpg,99_Q05383_1441_3.jpg,99_Q01983_2970_1.jpg,99_Q01983_2970_2.jpg,99_Q01983_2970_3.jpg,99_Q01256_1487_1.jpg,99_Q01256_1487_2.jpg,99_Q01256_1487_3.jpg,Not interested in seeing satellite dishes.
Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,104_Q03198_2468_1.jpg,104_Q03198_2468_2.jpg,104_Q03198_2468_3.jpg,104_Q01744_2389_1.jpg,104_Q01744_2389_2.jpg,104_Q01744_2389_3.jpg,104_Q00169_202_1.jpg,104_Q00169_202_2.jpg,104_Q00169_202_3.jpg,The user is not interested in details on how to pay child support.
What commercial hair dyes are available?,F0534,233,hair dye,233_Q00222_3719_1.jpg,233_Q00222_3719_2.jpg,233_Q00222_3719_3.jpg,233_Q00093_1905_1.jpg,233_Q00093_1905_2.jpg,233_Q00093_1905_3.jpg,233_Q01784_118_1.jpg,233_Q01784_118_2.jpg,233_Q01784_118_3.jpg,The user is not interested in hair dye color shades.
"Find games based on the InuYasha series, either online or for game systems.",F0699,28,inuyasha,28_Q03551_1942_1.jpg,28_Q03551_1942_2.jpg,28_Q03551_1942_3.jpg,28_Q00077_1365_1.jpg,28_Q00077_1365_2.jpg,28_Q00077_1365_3.jpg,28_Q05148_1206_1.jpg,28_Q05148_1206_2.jpg,28_Q05148_1206_3.jpg,Not interested in the Inuyasha illustrator and writer.
Is pink slime used in school lunches?,F0764,299,pink slime in ground beef,299_Q01438_1829_1.jpg,299_Q01438_1829_2.jpg,299_Q01438_1829_3.jpg,299_Q04760_818_1.jpg,299_Q04760_818_2.jpg,299_Q04760_818_3.jpg,299_Q02135_2520_1.jpg,299_Q02135_2520_2.jpg,299_Q02135_2520_3.jpg,None
"Find recipes from Starbucks, either for making or using Starbucks products.",F0650,27,starbucks,27_Q04741_799_1.jpg,27_Q04741_799_2.jpg,27_Q04741_799_3.jpg,27_Q01026_251_1.jpg,27_Q01026_251_2.jpg,27_Q01026_251_3.jpg,27_Q00660_277_1.jpg,27_Q00660_277_2.jpg,27_Q00660_277_3.jpg,Find out current promotions or deals at Starbucks.
Find the homepage of the Tennessee Titans.,F1052,94,titan,94_Q01058_1478_1.jpg,94_Q01058_1478_2.jpg,94_Q01058_1478_3.jpg,94_Q01291_3006_1.jpg,94_Q01291_3006_2.jpg,94_Q01291_3006_3.jpg,94_Q04022_80_1.jpg,94_Q04022_80_2.jpg,94_Q04022_80_3.jpg,The user is not looking for the computer part number.
What is the recommended diet for Barrett's Esophagus?,F0599,254,barrett's esophagus,254_Q03429_2556_1.jpg,254_Q03429_2556_2.jpg,254_Q03429_2556_3.jpg,254_Q03707_997_1.jpg,254_Q03707_997_2.jpg,254_Q03707_997_3.jpg,254_Q00559_26_1.jpg,254_Q00559_26_2.jpg,254_Q00559_26_3.jpg,Not interested in learning about Barrett's esophagus risks.
"""What is """"Poem in Your Pocket Day""""?""",F0078,118,poem in your pocket day,118_Q04133_191_1.jpg,118_Q04133_191_2.jpg,118_Q04133_191_3.jpg,118_Q01490_3755_1.jpg,118_Q01490_3755_2.jpg,118_Q01490_3755_3.jpg,118_Q01677_1748_1.jpg,118_Q01677_1748_2.jpg,118_Q01677_1748_3.jpg,The user's intent is to clarify they are not interested in the location information regarding Poem in Your Pocket Day.
List online computer programming tutorials.,F0268,166,computer programming,166_Q05270_1328_1.jpg,166_Q05270_1328_2.jpg,166_Q05270_1328_3.jpg,166_Q00631_212_1.jpg,166_Q00631_212_2.jpg,166_Q00631_212_3.jpg,166_Q01173_3544_1.jpg,166_Q01173_3544_2.jpg,166_Q01173_3544_3.jpg,Not interested in salary comparison.
What type of surface treatment products does Jax Chemical Company manufacture?,F0154,138,jax chemical company,138_Q01636_1678_1.jpg,138_Q01636_1678_2.jpg,138_Q01636_1678_3.jpg,138_Q03771_1732_1.jpg,138_Q03771_1732_2.jpg,138_Q03771_1732_3.jpg,138_Q03907_2611_1.jpg,138_Q03907_2611_2.jpg,138_Q03907_2611_3.jpg,The user does not intend to learn about the products of Jax Chemical Company.
I'm looking for good flame tattoo designs.,F0848,49,flame designs,49_Q05575_1633_1.jpg,49_Q05575_1633_2.jpg,49_Q05575_1633_3.jpg,49_Q05572_1630_1.jpg,49_Q05572_1630_2.jpg,49_Q05572_1630_3.jpg,49_Q03937_1953_1.jpg,49_Q03937_1953_2.jpg,49_Q03937_1953_3.jpg,Looking for flame tattoo designs.
"home page for East Ridge High School in Chattanooga, Tennessee",F0164,140,east ridge high school,140_Q00820_849_1.jpg,140_Q00820_849_2.jpg,140_Q00820_849_3.jpg,140_Q04843_901_1.jpg,140_Q04843_901_2.jpg,140_Q04843_901_3.jpg,140_Q01689_557_1.jpg,140_Q01689_557_2.jpg,140_Q01689_557_3.jpg,The user is not interested in discussing school activities.
What hair dye options should be considered during pregnancy?,F0537,233,hair dye,233_Q02578_276_1.jpg,233_Q02578_276_2.jpg,233_Q02578_276_3.jpg,233_Q05058_1116_1.jpg,233_Q05058_1116_2.jpg,233_Q05058_1116_3.jpg,233_Q00220_702_1.jpg,233_Q00220_702_2.jpg,233_Q00220_702_3.jpg,The user is interested in discussing preferences related to matching colors.
Who is eligible for a 403b plan?,F0202,151,403b,151_Q04005_63_1.jpg,151_Q04005_63_2.jpg,151_Q04005_63_3.jpg,151_Q03851_1916_1.jpg,151_Q03851_1916_2.jpg,151_Q03851_1916_3.jpg,151_Q03517_1174_1.jpg,151_Q03517_1174_2.jpg,151_Q03517_1174_3.jpg,Explore different retirement options.
Find information about worms in nature.,F0908,61,worm,61_Q00346_2421_1.jpg,61_Q00346_2421_2.jpg,61_Q00346_2421_3.jpg,61_Q00261_2582_1.jpg,61_Q00261_2582_2.jpg,61_Q00261_2582_3.jpg,61_Q02046_2311_1.jpg,61_Q02046_2311_2.jpg,61_Q02046_2311_3.jpg,The user is not interested in pictures of worms.
I want to buy a road map of Brazil.,F0052,110,map of brazil,110_Q04969_1027_1.jpg,110_Q04969_1027_2.jpg,110_Q04969_1027_3.jpg,110_Q02748_877_1.jpg,110_Q02748_877_2.jpg,110_Q02748_877_3.jpg,110_Q03829_2093_1.jpg,110_Q03829_2093_2.jpg,110_Q03829_2093_3.jpg,Looking for a road map of Brazil.
Which exercises can bring relief from CTS?,F0477,213,carpal tunnel syndrome,213_Q00572_3221_1.jpg,213_Q00572_3221_2.jpg,213_Q00572_3221_3.jpg,213_Q02902_1913_1.jpg,213_Q02902_1913_2.jpg,213_Q02902_1913_3.jpg,213_Q00537_1406_1.jpg,213_Q00537_1406_2.jpg,213_Q00537_1406_3.jpg,The user is not interested in learning about carpal tunnel syndrome symptoms.
What damage can a carpenter bee do to a home or structure?,F0621,259,carpenter bee,259_Q05411_1469_1.jpg,259_Q05411_1469_2.jpg,259_Q05411_1469_3.jpg,259_Q02485_1499_1.jpg,259_Q02485_1499_2.jpg,259_Q02485_1499_3.jpg,259_Q02520_319_1.jpg,259_Q02520_319_2.jpg,259_Q02520_319_3.jpg,The user is interested in learning about the appearance or characteristics of a carpenter bee nest.
Find puppies of designer dog breeds for sale.,F0388,194,designer dog breeds,194_Q04914_972_1.jpg,194_Q04914_972_2.jpg,194_Q04914_972_3.jpg,194_Q02301_1767_1.jpg,194_Q02301_1767_2.jpg,194_Q02301_1767_3.jpg,194_Q00110_3031_1.jpg,194_Q00110_3031_2.jpg,194_Q00110_3031_3.jpg,The user is not interested in learning about the pure breeds used to create designer breeds.
Find the causes of CTS.,F0476,213,carpal tunnel syndrome,213_Q00815_488_1.jpg,213_Q00815_488_2.jpg,213_Q00815_488_3.jpg,213_Q00969_341_1.jpg,213_Q00969_341_2.jpg,213_Q00969_341_3.jpg,213_Q05615_1673_1.jpg,213_Q05615_1673_2.jpg,213_Q05615_1673_3.jpg,The user is not seeking specialists or treatment.
Find music that featured on the show ER.,F1037,91,er tv show,91_Q02462_301_1.jpg,91_Q02462_301_2.jpg,91_Q02462_301_3.jpg,91_Q00398_3206_1.jpg,91_Q00398_3206_2.jpg,91_Q00398_3206_3.jpg,91_Q02362_3019_1.jpg,91_Q02362_3019_2.jpg,91_Q02362_3019_3.jpg,"Not interested in watching the TV show ""ER""."
What methods were used for the recovery of the USS Cole?,F0680,275,uss cole,275_Q04034_92_1.jpg,275_Q04034_92_2.jpg,275_Q04034_92_3.jpg,275_Q04035_93_1.jpg,275_Q04035_93_2.jpg,275_Q04035_93_3.jpg,275_Q03471_1267_1.jpg,275_Q03471_1267_2.jpg,275_Q03471_1267_3.jpg,The user is not interested in seeing photos of the USS Cole.
Find the homepage for Mitchell College.,F0852,5,mitchell college,5_Q04403_461_1.jpg,5_Q04403_461_2.jpg,5_Q04403_461_3.jpg,5_Q00945_2798_1.jpg,5_Q00945_2798_2.jpg,5_Q00945_2798_3.jpg,5_Q04404_462_1.jpg,5_Q04404_462_2.jpg,5_Q04404_462_3.jpg,Finding information about Mitchell College.
Who's in the cast of the Doctor Zhivago movie?,F0448,208,doctor zhivago,208_Q04314_372_1.jpg,208_Q04314_372_2.jpg,208_Q04314_372_3.jpg,208_Q01483_1144_1.jpg,208_Q01483_1144_2.jpg,208_Q01483_1144_3.jpg,208_Q01249_3622_1.jpg,208_Q01249_3622_2.jpg,208_Q01249_3622_3.jpg,Not interested in love scenes from Doctor Zhivago.
What commercial hair dyes are available?,F0534,233,hair dye,233_Q00221_2957_1.jpg,233_Q00221_2957_2.jpg,233_Q00221_2957_3.jpg,233_Q01663_2196_1.jpg,233_Q01663_2196_2.jpg,233_Q01663_2196_3.jpg,233_Q01152_987_1.jpg,233_Q01152_987_2.jpg,233_Q01152_987_3.jpg,The user is not interested in hair dye color remover.
What diet should a person with Wilson's disease follow?,F0668,273,wilson's disease,273_Q04961_1019_1.jpg,273_Q04961_1019_2.jpg,273_Q04961_1019_3.jpg,273_Q03404_2489_1.jpg,273_Q03404_2489_2.jpg,273_Q03404_2489_3.jpg,273_Q02938_291_1.jpg,273_Q02938_291_2.jpg,273_Q02938_291_3.jpg,Not interested in eye symptoms right now.
I want to find cheap DSL providers.,F0008,10,cheap internet,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,The user is not currently seeking information on a specific internet technology.
What causes the heart to beat faster or slower?,F0624,26,lower heart rate,26_Q04482_540_1.jpg,26_Q04482_540_2.jpg,26_Q04482_540_3.jpg,26_Q03342_1766_1.jpg,26_Q03342_1766_2.jpg,26_Q03342_1766_3.jpg,26_Q01193_697_1.jpg,26_Q01193_697_2.jpg,26_Q01193_697_3.jpg,No specific intent provided.
What are the requirements to become a Tennessee Highway Patrol State Trooper?,F0197,150,tn highway patrol,150_Q04410_468_1.jpg,150_Q04410_468_2.jpg,150_Q04410_468_3.jpg,150_Q00262_1496_1.jpg,150_Q00262_1496_2.jpg,150_Q00262_1496_3.jpg,150_Q04407_465_1.jpg,150_Q04407_465_2.jpg,150_Q04407_465_3.jpg,Keep interactions with TN highway patrol direct.
I'm looking for locations of Starbucks stores worldwide.,F0651,27,starbucks,27_Q04743_801_1.jpg,27_Q04743_801_2.jpg,27_Q04743_801_3.jpg,27_Q00660_277_1.jpg,27_Q00660_277_2.jpg,27_Q00660_277_3.jpg,27_Q04745_803_1.jpg,27_Q04745_803_2.jpg,27_Q04745_803_3.jpg,Find Starbucks store locations.
"Find recipes for rice, for example fried rice or rice pudding.",F1053,96,rice,96_Q02090_1647_1.jpg,96_Q02090_1647_2.jpg,96_Q02090_1647_3.jpg,96_Q05151_1209_1.jpg,96_Q05151_1209_2.jpg,96_Q05151_1209_3.jpg,96_Q02928_2140_1.jpg,96_Q02928_2140_2.jpg,96_Q02928_2140_3.jpg,Learn about rice recipes.
What are the treatment options for BPH (benign prostatic hyperplasia)?,F0438,207,bph treatment,207_Q00860_573_1.jpg,207_Q00860_573_2.jpg,207_Q00860_573_3.jpg,207_Q03368_1442_1.jpg,207_Q03368_1442_2.jpg,207_Q03368_1442_3.jpg,207_Q00617_2124_1.jpg,207_Q00617_2124_2.jpg,207_Q00617_2124_3.jpg,The user is interested in remedies that are not home-based.
good places to sell a used trombone,F0176,144,trombone for sale,144_Q00482_3586_1.jpg,144_Q00482_3586_2.jpg,144_Q00482_3586_3.jpg,144_Q00655_972_1.jpg,144_Q00655_972_2.jpg,144_Q00655_972_3.jpg,144_Q01115_2529_1.jpg,144_Q01115_2529_2.jpg,144_Q01115_2529_3.jpg,Not focused on trombone price range.
How does yoga benefit runners?,F0727,289,benefits of yoga,289_Q00317_3884_1.jpg,289_Q00317_3884_2.jpg,289_Q00317_3884_3.jpg,289_Q01566_1746_1.jpg,289_Q01566_1746_2.jpg,289_Q01566_1746_3.jpg,289_Q03045_2972_1.jpg,289_Q03045_2972_2.jpg,289_Q03045_2972_3.jpg,Not interested in mental benefits of yoga.
"What K-12 schools are in Porterville, CA?",F0233,159,porterville,159_Q01456_171_1.jpg,159_Q01456_171_2.jpg,159_Q01456_171_3.jpg,159_Q05528_1586_1.jpg,159_Q05528_1586_2.jpg,159_Q05528_1586_3.jpg,159_Q00379_1833_1.jpg,159_Q00379_1833_2.jpg,159_Q00379_1833_3.jpg,Finding information about K-12 schools in Porterville.
Find an online source for Volvo parts.,F0460,21,volvo,21_Q00564_182_1.jpg,21_Q00564_182_2.jpg,21_Q00564_182_3.jpg,21_Q02644_3303_1.jpg,21_Q02644_3303_2.jpg,21_Q02644_3303_3.jpg,21_Q01141_237_1.jpg,21_Q01141_237_2.jpg,21_Q01141_237_3.jpg,The user is indifferent about the CEO information.
Find InuYasha anime episodes for download.,F0698,28,inuyasha,28_Q00077_1365_1.jpg,28_Q00077_1365_2.jpg,28_Q00077_1365_3.jpg,28_Q05147_1205_1.jpg,28_Q05147_1205_2.jpg,28_Q05147_1205_3.jpg,28_Q03022_2296_1.jpg,28_Q03022_2296_2.jpg,28_Q03022_2296_3.jpg,General interest in Inuyasha.
"Find the homepage for the U.K. newspaper, The Sun.",F0954,72,the sun,72_Q02028_1272_1.jpg,72_Q02028_1272_2.jpg,72_Q02028_1272_3.jpg,72_Q00865_1342_1.jpg,72_Q00865_1342_2.jpg,72_Q00865_1342_3.jpg,72_Q01087_200_1.jpg,72_Q01087_200_2.jpg,72_Q01087_200_3.jpg,No clear intent was expressed in the conversation.
Is pink slime used in school lunches?,F0764,299,pink slime in ground beef,299_Q04756_814_1.jpg,299_Q04756_814_2.jpg,299_Q04756_814_3.jpg,299_Q03149_681_1.jpg,299_Q03149_681_2.jpg,299_Q03149_681_3.jpg,299_Q03911_1586_1.jpg,299_Q03911_1586_2.jpg,299_Q03911_1586_3.jpg,The user is not interested in infographics.
Where can I buy teddy bears wholesale?,F0608,255,teddy bears,255_Q00094_1640_1.jpg,255_Q00094_1640_2.jpg,255_Q00094_1640_3.jpg,255_Q04232_290_1.jpg,255_Q04232_290_2.jpg,255_Q04232_290_3.jpg,255_Q03072_1141_1.jpg,255_Q03072_1141_2.jpg,255_Q03072_1141_3.jpg,Not interested in a personalized teddy bear.
What are the treatment options for BPH (benign prostatic hyperplasia)?,F0438,207,bph treatment,207_Q03627_328_1.jpg,207_Q03627_328_2.jpg,207_Q03627_328_3.jpg,207_Q01676_47_1.jpg,207_Q01676_47_2.jpg,207_Q01676_47_3.jpg,207_Q00520_3631_1.jpg,207_Q00520_3631_2.jpg,207_Q00520_3631_3.jpg,The user is not interested in symptoms information.
Find information on the history of rock and roll music.,F1013,87,who invented music,87_Q03389_3435_1.jpg,87_Q03389_3435_2.jpg,87_Q03389_3435_3.jpg,87_Q01839_2362_1.jpg,87_Q01839_2362_2.jpg,87_Q01839_2362_3.jpg,87_Q02288_1476_1.jpg,87_Q02288_1476_2.jpg,87_Q02288_1476_3.jpg,The user is expressing disinterest in inventions related to music.
"Take me to the homepage of the College Board, authors of the SAT.",F1064,98,sat,98_Q03426_2747_1.jpg,98_Q03426_2747_2.jpg,98_Q03426_2747_3.jpg,98_Q04056_114_1.jpg,98_Q04056_114_2.jpg,98_Q04056_114_3.jpg,98_Q04057_115_1.jpg,98_Q04057_115_2.jpg,98_Q04057_115_3.jpg,The user is expressing a lack of interest in learning about the most recent satellite sent into orbit.
"What are some injuries or diseases of hooves in horses, and how are they treated?",F0860,51,horse hooves,51_Q00876_2146_1.jpg,51_Q00876_2146_2.jpg,51_Q00876_2146_3.jpg,51_Q00899_442_1.jpg,51_Q00899_442_2.jpg,51_Q00899_442_3.jpg,51_Q02864_3223_1.jpg,51_Q02864_3223_2.jpg,51_Q02864_3223_3.jpg,Learning about hoof injuries and diseases in horses and their treatments.
"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,1_Q05591_1649_1.jpg,1_Q05591_1649_2.jpg,1_Q05591_1649_3.jpg,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,The user is not interested in pictures of Obama with his family in Kenya.
Where can I buy teddy bears wholesale?,F0608,255,teddy bears,255_Q02496_2060_1.jpg,255_Q02496_2060_2.jpg,255_Q02496_2060_3.jpg,255_Q04229_287_1.jpg,255_Q04229_287_2.jpg,255_Q04229_287_3.jpg,255_Q00845_3375_1.jpg,255_Q00845_3375_2.jpg,255_Q00845_3375_3.jpg,The user is not interested in seeing pictures of toys made by the Gund company.
I'd like to find guides and outfitters for hunting trips in Arizona.,F0241,16,arizona game and fish,16_Q05099_1157_1.jpg,16_Q05099_1157_2.jpg,16_Q05099_1157_3.jpg,16_Q03854_3451_1.jpg,16_Q03854_3451_2.jpg,16_Q03854_3451_3.jpg,16_Q03134_1795_1.jpg,16_Q03134_1795_2.jpg,16_Q03134_1795_3.jpg,Looking for something other than pictures of the Arizona Game and Fish Warden and officers.
"Find information about the Sun, the star in our Solar System.",F0953,72,the sun,72_Q00501_2214_1.jpg,72_Q00501_2214_2.jpg,72_Q00501_2214_3.jpg,72_Q02039_2527_1.jpg,72_Q02039_2527_2.jpg,72_Q02039_2527_3.jpg,72_Q00877_1014_1.jpg,72_Q00877_1014_2.jpg,72_Q00877_1014_3.jpg,The user is not interested in the temperature of the sun.
What are the side effects of BPH treatments?,F0444,207,bph treatment,207_Q04948_1006_1.jpg,207_Q04947_1005_2.jpg,207_Q04947_1005_3.jpg,207_Q01676_47_1.jpg,207_Q01676_47_2.jpg,207_Q01676_47_3.jpg,207_Q02270_2105_1.jpg,207_Q02270_2105_2.jpg,207_Q02270_2105_3.jpg,The user is not interested in a list of symptoms for BPH treatment.
How do I fix a toilet that isn't working properly?,F0813,4,toilet,4_Q01104_3410_1.jpg,4_Q01104_3410_2.jpg,4_Q01104_3410_3.jpg,4_Q03580_154_1.jpg,4_Q03580_154_2.jpg,4_Q03580_154_3.jpg,4_Q02732_2157_1.jpg,4_Q02732_2157_2.jpg,4_Q02732_2157_3.jpg,Not interested in toilet cleaners.
Find a site where I can fill out my Federal income tax return online.,F0928,66,income tax return online,66_Q01486_801_1.jpg,66_Q01486_801_2.jpg,66_Q01486_801_3.jpg,66_Q02247_3782_1.jpg,66_Q02247_3782_2.jpg,66_Q02247_3782_3.jpg,66_Q01928_487_1.jpg,66_Q01928_487_2.jpg,66_Q01928_487_3.jpg,The user does not need clarification on their tax return.
