facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,image3_1,image3_2,image3_3,image4_1,image4_2,image4_3,query
information on clubs that host rock and gem shows,F0151,137,rock and gem shows,137_Q02951_1638_1.jpg,137_Q02951_1638_2.jpg,137_Q02951_1638_3.jpg,137_Q05549_1607_1.jpg,137_Q05549_1607_2.jpg,137_Q05549_1607_3.jpg,137_Q03170_3118_1.jpg,137_Q03170_3118_2.jpg,137_Q03170_3118_3.jpg,137_Q00204_3022_1.jpg,137_Q00204_3022_2.jpg,137_Q00204_3022_3.jpg,Finding information on clubs that host rock and gem shows nearby.
Find a site where I can determine room price and availability.,F0011,101,ritz carlton lake las vegas,101_Q04390_448_1.jpg,101_Q04390_448_2.jpg,101_Q04390_448_3.jpg,101_Q01055_2046_1.jpg,101_Q01055_2046_2.jpg,101_Q01055_2046_3.jpg,101_Q03582_2711_1.jpg,101_Q03582_2711_2.jpg,101_Q03582_2711_3.jpg,101_Q04388_446_1.jpg,101_Q04388_446_2.jpg,101_Q04388_446_3.jpg,Finding a site to check room prices and availability at the Ritz Carlton Lake Las Vegas.
"Find games based on the InuYasha series, either online or for game systems.",F0699,28,inuyasha,28_Q03551_1942_1.jpg,28_Q03551_1942_2.jpg,28_Q03551_1942_3.jpg,28_Q05145_1203_1.jpg,28_Q05145_1203_2.jpg,28_Q05145_1203_3.jpg,28_Q00253_528_1.jpg,28_Q00253_528_2.jpg,28_Q00253_528_3.jpg,28_Q05149_1207_1.jpg,28_Q05149_1207_2.jpg,28_Q05149_1207_3.jpg,To explore games related to the Inuyasha series.
Find dealers that sell or rent Bobcat tractors and construction equipment.,F0971,77,bobcat,77_Q03589_2714_1.jpg,77_Q03589_2714_2.jpg,77_Q03589_2714_3.jpg,77_Q00585_3084_1.jpg,77_Q00585_3084_2.jpg,77_Q00585_3084_3.jpg,77_Q03613_2881_1.jpg,77_Q03613_2881_2.jpg,77_Q03613_2881_3.jpg,77_Q02941_1260_1.jpg,77_Q02941_1260_2.jpg,77_Q02941_1260_3.jpg,Find dealers that sell or rent Bobcat tractors and construction equipment.
Is there a golf gps system that can be used world wide?,F0465,210,golf gps,210_Q05201_1259_1.jpg,210_Q05201_1259_2.jpg,210_Q05201_1259_3.jpg,210_Q01161_2942_1.jpg,210_Q01161_2942_2.jpg,210_Q01161_2942_3.jpg,210_Q05196_1254_1.jpg,210_Q05196_1254_2.jpg,210_Q05196_1254_3.jpg,210_Q05198_1256_1.jpg,210_Q05198_1256_2.jpg,210_Q05198_1256_3.jpg,Interested in learning about worldwide golf GPS systems.
Where can I get a cruise book for the USS Carl Vinson?,F0425,202,uss carl vinson,202_Q00508_1281_1.jpg,202_Q00508_1281_2.jpg,202_Q00508_1281_3.jpg,202_Q00242_1761_1.jpg,202_Q00242_1761_2.jpg,202_Q00242_1761_3.jpg,202_Q00561_377_1.jpg,202_Q00561_377_2.jpg,202_Q00561_377_3.jpg,202_Q05091_1149_1.jpg,202_Q05091_1149_2.jpg,202_Q05091_1149_3.jpg,Book a cruise.
What movies has Nicolas Cage appeared in?,F0488,216,nicolas cage movies,216_Q02681_980_1.jpg,216_Q02681_980_2.jpg,216_Q02681_980_3.jpg,216_Q00475_2381_1.jpg,216_Q00475_2381_2.jpg,216_Q00475_2381_3.jpg,216_Q02656_2186_1.jpg,216_Q02656_2186_2.jpg,216_Q02656_2186_3.jpg,216_Q02465_985_1.jpg,216_Q02465_985_2.jpg,216_Q02465_985_3.jpg,The user wants a list of movies featuring Nicolas Cage.
Do carpenter bees sting?,F0623,259,carpenter bee,259_Q02891_3676_1.jpg,259_Q02891_3676_2.jpg,259_Q02891_3676_3.jpg,259_Q05411_1469_1.jpg,259_Q05411_1469_2.jpg,259_Q05411_1469_3.jpg,259_Q02178_2857_1.jpg,259_Q02178_2857_2.jpg,259_Q02178_2857_3.jpg,259_Q01010_679_1.jpg,259_Q01010_679_2.jpg,259_Q01010_679_3.jpg,Determine if carpenter bees sting.
Is Brooks Brothers catalog merchandise available at their outlet stores?,F0376,190,brooks brothers clearance,190_Q01805_1624_1.jpg,190_Q01805_1624_2.jpg,190_Q01805_1624_3.jpg,190_Q01139_3550_1.jpg,190_Q01139_3550_2.jpg,190_Q01139_3550_3.jpg,190_Q03731_1945_1.jpg,190_Q03731_1945_2.jpg,190_Q03731_1945_3.jpg,190_Q02454_2132_1.jpg,190_Q02454_2132_2.jpg,190_Q02454_2132_3.jpg,Shop at an outlet store and inquire about merchandise availability.
Whom can I contact if I think I am being discriminated against by an equal opportunity employer?,F0130,131,equal opportunity employer,131_Q03508_1739_1.jpg,131_Q03508_1739_2.jpg,131_Q03508_1739_3.jpg,131_Q04777_835_1.jpg,131_Q04777_835_2.jpg,131_Q04777_835_3.jpg,131_Q04775_833_1.jpg,131_Q04775_833_2.jpg,131_Q04775_833_3.jpg,131_Q02793_827_1.jpg,131_Q02793_827_2.jpg,131_Q02793_827_3.jpg,Find contact information for reporting workplace discrimination.
Find the homepage of Hoveround scooters.,F0294,170,scooters,170_Q04441_499_1.jpg,170_Q04441_499_2.jpg,170_Q04441_499_3.jpg,170_Q04442_500_1.jpg,170_Q04442_500_2.jpg,170_Q04442_500_3.jpg,170_Q01351_3680_1.jpg,170_Q01351_3680_2.jpg,170_Q01351_3680_3.jpg,170_Q04445_503_1.jpg,170_Q04445_503_2.jpg,170_Q04445_503_3.jpg,Find the homepage for Hoveround scooters.
information about the drafting of the Declaration of Independence,F0135,133,all men are created equal,133_Q01385_2018_1.jpg,133_Q01385_2018_2.jpg,133_Q01385_2018_3.jpg,133_Q03741_1724_1.jpg,133_Q03741_1724_2.jpg,133_Q03741_1724_3.jpg,133_Q02769_2487_1.jpg,133_Q02769_2487_2.jpg,133_Q02769_2487_3.jpg,133_Q03514_3165_1.jpg,133_Q03514_3165_2.jpg,133_Q03514_3165_3.jpg,Exploring the drafting process of historical documents regarding rights and freedoms.
"Find information on various types of computer memory, and how they are different.",F0999,83,memory,83_Q01121_2485_1.jpg,83_Q01121_2485_2.jpg,83_Q01121_2485_3.jpg,83_Q05013_1071_1.jpg,83_Q05013_1071_2.jpg,83_Q05013_1071_3.jpg,83_Q01463_2042_1.jpg,83_Q01463_2042_2.jpg,83_Q01463_2042_3.jpg,83_Q02646_3646_1.jpg,83_Q02646_3646_2.jpg,83_Q02646_3646_3.jpg,Understanding different types of computer memory and their differences.
What are the regulations for hunting and fishing in Arizona?,F0239,16,arizona game and fish,16_Q05102_1160_1.jpg,16_Q05102_1160_2.jpg,16_Q05102_1160_3.jpg,16_Q05101_1159_1.jpg,16_Q05101_1159_2.jpg,16_Q05101_1159_3.jpg,16_Q03227_1610_1.jpg,16_Q03227_1610_2.jpg,16_Q03227_1610_3.jpg,16_Q01818_123_1.jpg,16_Q01818_123_2.jpg,16_Q01818_123_3.jpg,Learn about the regulations for hunting and fishing in Arizona.
What are the specifications of the PlayStation 2 console?,F0733,29,ps 2 games,29_Q00980_1701_1.jpg,29_Q00980_1701_2.jpg,29_Q00980_1701_3.jpg,29_Q04890_948_1.jpg,29_Q04890_948_2.jpg,29_Q04890_948_3.jpg,29_Q03066_1073_1.jpg,29_Q03066_1073_2.jpg,29_Q03066_1073_3.jpg,29_Q01239_2089_1.jpg,29_Q01239_2089_2.jpg,29_Q01239_2089_3.jpg,The user wants to know the specs of the PlayStation 2 console.
find information/timeline about Martha Stewart's insider trading case,F0185,148,martha stewart and imclone,148_Q00548_3497_1.jpg,148_Q00548_3497_2.jpg,148_Q00548_3497_3.jpg,148_Q04345_403_1.jpg,148_Q04345_403_2.jpg,148_Q04345_403_3.jpg,148_Q02128_3320_1.jpg,148_Q02128_3320_2.jpg,148_Q02128_3320_3.jpg,148_Q03035_2932_1.jpg,148_Q03035_2932_2.jpg,148_Q03035_2932_3.jpg,Gather details and important dates related to a specific case involving Martha Stewart and ImClone.
Find information about Mister Rogers' Purple Panda.,F0690,278,mister rogers,278_Q04466_524_1.jpg,278_Q04466_524_2.jpg,278_Q04466_524_3.jpg,278_Q00209_2861_1.jpg,278_Q00209_2861_2.jpg,278_Q00209_2861_3.jpg,278_Q02560_3577_1.jpg,278_Q02560_3577_2.jpg,278_Q02560_3577_3.jpg,278_Q04471_529_1.jpg,278_Q04471_529_2.jpg,278_Q04471_529_3.jpg,"Learn about Mister Rogers' Purple Panda, especially its visuals."
"""Find information on dogs' reproductive cycle. What does it mean when a dog is """"in heat""""?""",F0857,50,dog heat,50_Q03629_2897_1.jpg,50_Q03629_2897_2.jpg,50_Q03629_2897_3.jpg,50_Q05302_1360_1.jpg,50_Q05302_1360_2.jpg,50_Q05302_1360_3.jpg,50_Q03478_3854_1.jpg,50_Q03478_3854_2.jpg,50_Q03478_3854_3.jpg,50_Q05298_1356_1.jpg,50_Q05298_1356_2.jpg,50_Q05298_1356_3.jpg,"The user wants to find information on the reproductive cycle of dogs, specifically about what it means when a dog is ""in heat."""
I'm looking for companies that manufacture residential toilets.,F0811,4,toilet,4_Q04772_830_1.jpg,4_Q04772_830_2.jpg,4_Q04772_830_3.jpg,4_Q01533_2264_1.jpg,4_Q01533_2264_2.jpg,4_Q01533_2264_3.jpg,4_Q01104_3410_1.jpg,4_Q01104_3410_2.jpg,4_Q01104_3410_3.jpg,4_Q02732_2157_1.jpg,4_Q02732_2157_2.jpg,4_Q02732_2157_3.jpg,Finding out what brand manufactures their residential toilet.
How is CTS treated?,F0474,213,carpal tunnel syndrome,213_Q00415_2004_1.jpg,213_Q00415_2004_2.jpg,213_Q00415_2004_3.jpg,213_Q01045_2522_1.jpg,213_Q01045_2522_2.jpg,213_Q01045_2522_3.jpg,213_Q01081_3358_1.jpg,213_Q01081_3358_2.jpg,213_Q01081_3358_3.jpg,213_Q05615_1673_1.jpg,213_Q05615_1673_2.jpg,213_Q05615_1673_3.jpg,Understanding the treatment options for carpal tunnel syndrome.
Find a synopsis of Doctor Zhivago.,F0446,208,doctor zhivago,208_Q03415_549_1.jpg,208_Q03415_549_2.jpg,208_Q03415_549_3.jpg,208_Q00158_3202_1.jpg,208_Q00158_3202_2.jpg,208_Q00158_3202_3.jpg,208_Q03542_2192_1.jpg,208_Q03542_2192_2.jpg,208_Q03542_2192_3.jpg,208_Q02248_2328_1.jpg,208_Q02248_2328_2.jpg,208_Q02248_2328_3.jpg,"Learn about the storyline and characters of the 1965 film Doctor Zhivago, specifically seeking a synopsis of the movie."
Find quotes from Fidel Castro.,F0717,288,fidel castro,288_Q05005_1063_1.jpg,288_Q05005_1063_2.jpg,288_Q05005_1063_3.jpg,288_Q01512_2416_1.jpg,288_Q01512_2416_2.jpg,288_Q01512_2416_3.jpg,288_Q01497_1956_1.jpg,288_Q01497_1956_2.jpg,288_Q01497_1956_3.jpg,288_Q02775_1035_1.jpg,288_Q02775_1035_2.jpg,288_Q02775_1035_3.jpg,Interest in quotes related to Fidel Castro.
What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,213_Q05613_1671_1.jpg,213_Q05613_1671_2.jpg,213_Q05613_1671_3.jpg,213_Q01582_455_1.jpg,213_Q01582_455_2.jpg,213_Q01582_455_3.jpg,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg,213_Q02902_1913_1.jpg,213_Q02902_1913_2.jpg,213_Q02902_1913_3.jpg,To understand the recovery prospects for CTS surgical patients and how many people become healthy after the surgery.
I'm looking for a Kohler wall-hung toilet. Where can I buy one?,F0815,4,toilet,4_Q04772_830_1.jpg,4_Q04772_830_2.jpg,4_Q04772_830_3.jpg,4_Q01654_1470_1.jpg,4_Q01654_1470_2.jpg,4_Q01654_1470_3.jpg,4_Q01374_2919_1.jpg,4_Q01374_2919_2.jpg,4_Q01374_2919_3.jpg,4_Q03183_3384_1.jpg,4_Q03183_3384_2.jpg,4_Q03183_3384_3.jpg,Finding where to buy a Kohler wall-hung toilet.
Find sites where I can buy iron supplements.,F0881,55,iron,55_Q05357_1415_1.jpg,55_Q05357_1415_2.jpg,55_Q05357_1415_3.jpg,55_Q03454_1629_1.jpg,55_Q03454_1629_2.jpg,55_Q03454_1629_3.jpg,55_Q05362_1420_1.jpg,55_Q05362_1420_2.jpg,55_Q05362_1420_3.jpg,55_Q00637_1661_1.jpg,55_Q00637_1661_2.jpg,55_Q00637_1661_3.jpg,Looking for stores to buy iron supplements.
Find Mister Rogers videos.,F0688,278,mister rogers,278_Q00488_1611_1.jpg,278_Q00488_1611_2.jpg,278_Q00488_1611_3.jpg,278_Q02560_3577_1.jpg,278_Q02560_3577_2.jpg,278_Q02560_3577_3.jpg,278_Q00418_2663_1.jpg,278_Q00418_2663_2.jpg,278_Q00418_2663_3.jpg,278_Q04471_529_1.jpg,278_Q04471_529_2.jpg,278_Q04471_529_3.jpg,"Finding and watching Mister Rogers videos, and enjoying the puppets from Mr. Rogers' Neighborhood."
What is a good way to begin collecting old coins?,F0340,181,old coins,181_Q05436_1494_1.jpg,181_Q05436_1494_2.jpg,181_Q05436_1494_3.jpg,181_Q02606_376_1.jpg,181_Q02606_376_2.jpg,181_Q02606_376_3.jpg,181_Q05435_1493_1.jpg,181_Q05435_1493_2.jpg,181_Q05435_1493_3.jpg,181_Q05438_1496_1.jpg,181_Q05438_1496_2.jpg,181_Q05438_1496_3.jpg,Exploring collectible coins that are more commonly available and purchasing supplies to store old collector coins.
What methods were used for the recovery of the USS Cole?,F0680,275,uss cole,275_Q04036_94_1.jpg,275_Q04036_94_2.jpg,275_Q04036_94_3.jpg,275_Q03703_761_1.jpg,275_Q03703_761_2.jpg,275_Q03703_761_3.jpg,275_Q04034_92_1.jpg,275_Q04034_92_2.jpg,275_Q04034_92_3.jpg,275_Q03721_402_1.jpg,275_Q03721_402_2.jpg,275_Q03721_402_3.jpg,Wants to know what methods of recovery were used for the USS Cole.
Which exercises can bring relief from CTS?,F0477,213,carpal tunnel syndrome,213_Q00572_3221_1.jpg,213_Q00572_3221_2.jpg,213_Q00572_3221_3.jpg,213_Q02902_1913_1.jpg,213_Q02902_1913_2.jpg,213_Q02902_1913_3.jpg,213_Q00815_488_1.jpg,213_Q00815_488_2.jpg,213_Q00815_488_3.jpg,213_Q05612_1670_1.jpg,213_Q05612_1670_2.jpg,213_Q05612_1670_3.jpg,Exploring exercises that can provide relief from carpal tunnel syndrome.
Where can I get a used golf gps device?,F0466,210,golf gps,210_Q01675_284_1.jpg,210_Q01675_284_2.jpg,210_Q01675_284_3.jpg,210_Q02125_332_1.jpg,210_Q02125_332_2.jpg,210_Q02125_332_3.jpg,210_Q05197_1255_1.jpg,210_Q05197_1255_2.jpg,210_Q05197_1255_3.jpg,210_Q05196_1254_1.jpg,210_Q05196_1254_2.jpg,210_Q05196_1254_3.jpg,Interested in exploring options for handheld or watch used golf GPS devices.
Find the causes of CTS.,F0476,213,carpal tunnel syndrome,213_Q00815_488_1.jpg,213_Q00815_488_2.jpg,213_Q00815_488_3.jpg,213_Q01113_3390_1.jpg,213_Q01113_3390_2.jpg,213_Q01113_3390_3.jpg,213_Q03373_1048_1.jpg,213_Q03373_1048_2.jpg,213_Q03373_1048_3.jpg,213_Q03238_861_1.jpg,213_Q03238_861_2.jpg,213_Q03238_861_3.jpg,The user is interested in understanding the causes of carpal tunnel syndrome.
What are the educational benefits of social networking sites?,F0746,293,educational advantages of social networking sites,293_Q02768_2248_1.jpg,293_Q02768_2248_2.jpg,293_Q02768_2248_3.jpg,293_Q03998_56_1.jpg,293_Q03998_56_2.jpg,293_Q03998_56_3.jpg,293_Q01570_3325_1.jpg,293_Q01570_3325_2.jpg,293_Q01570_3325_3.jpg,293_Q03999_57_1.jpg,293_Q03999_57_2.jpg,293_Q03999_57_3.jpg,Understanding the educational benefits of social networking sites in a safe environment for children and seeing some kid-safe social networking sites.
Who got an Academy Award nomination for Doctor Zhivago?,F0447,208,doctor zhivago,208_Q02158_2519_1.jpg,208_Q02158_2519_2.jpg,208_Q02158_2519_3.jpg,208_Q04312_370_1.jpg,208_Q04312_370_2.jpg,208_Q04312_370_3.jpg,208_Q04317_375_1.jpg,208_Q04317_375_2.jpg,208_Q04317_375_3.jpg,208_Q01249_3622_1.jpg,208_Q01249_3622_2.jpg,208_Q01249_3622_3.jpg,The user wants to know who received an Academy Award for the 1965 movie Doctor Zhivago.
What movies has Ron Howard directed?,F0297,171,ron howard,171_Q02070_593_1.jpg,171_Q02070_593_2.jpg,171_Q02070_593_3.jpg,171_Q03938_1482_1.jpg,171_Q03938_1482_2.jpg,171_Q03938_1482_3.jpg,171_Q02946_3094_1.jpg,171_Q02946_3094_2.jpg,171_Q02946_3094_3.jpg,171_Q02155_2731_1.jpg,171_Q02155_2731_2.jpg,171_Q02155_2731_3.jpg,Learn about Ron Howard's directing career.
Find information about the Traverse City Record-Eagle.,F0523,226,traverse city,226_Q03947_5_1.jpg,226_Q03947_5_2.jpg,226_Q03947_5_3.jpg,226_Q03952_10_1.jpg,226_Q03952_10_2.jpg,226_Q03952_10_3.jpg,226_Q00354_3056_1.jpg,226_Q00354_3056_2.jpg,226_Q00354_3056_3.jpg,226_Q03923_893_1.jpg,226_Q03923_893_2.jpg,226_Q03923_893_3.jpg,Finding information about the Traverse City Record-Eagle.
Find information about the Conficker worm.,F0909,61,worm,61_Q02393_483_1.jpg,61_Q02393_483_2.jpg,61_Q02393_483_3.jpg,61_Q02013_3070_1.jpg,61_Q02013_3070_2.jpg,61_Q02013_3070_3.jpg,61_Q02014_2574_1.jpg,61_Q02014_2574_2.jpg,61_Q02014_2574_3.jpg,61_Q04149_207_1.jpg,61_Q04149_207_2.jpg,61_Q04149_207_3.jpg,Information about the Conficker worm.
Find current performances of The Music Man.,F0823,42,the music man,42_Q01092_70_1.jpg,42_Q01092_70_2.jpg,42_Q01092_70_3.jpg,42_Q00702_3448_1.jpg,42_Q00702_3448_2.jpg,42_Q00702_3448_3.jpg,42_Q02395_385_1.jpg,42_Q02395_385_2.jpg,42_Q02395_385_3.jpg,42_Q04811_869_1.jpg,42_Q04811_869_2.jpg,42_Q04811_869_3.jpg,Find current performances of The Music Man.
What are the best ways of disposing of dog waste?,F0386,193,dog clean up bags,193_Q01216_3085_1.jpg,193_Q01216_3085_2.jpg,193_Q01216_3085_3.jpg,193_Q04996_1054_1.jpg,193_Q04996_1054_2.jpg,193_Q04996_1054_3.jpg,193_Q02188_1334_1.jpg,193_Q02188_1334_2.jpg,193_Q02188_1334_3.jpg,193_Q04994_1052_1.jpg,193_Q04994_1052_2.jpg,193_Q04994_1052_3.jpg,The user is interested in factors affecting the overall expenses and is looking for eco-friendly bags for disposing of dog waste.
Who was Boris Pasternak and how did his life affect his book?,F0449,208,doctor zhivago,208_Q04312_370_1.jpg,208_Q04312_370_2.jpg,208_Q04312_370_3.jpg,208_Q04313_371_1.jpg,208_Q04313_371_2.jpg,208_Q04313_371_3.jpg,208_Q04316_374_1.jpg,208_Q04316_374_2.jpg,208_Q04316_374_3.jpg,208_Q02645_2118_1.jpg,208_Q02645_2118_2.jpg,208_Q02645_2118_3.jpg,"Learn about Boris Pasternak's life and how it influenced his book, especially the process of writing and printing the novel."
How can I lower my heart rate?,F0626,26,lower heart rate,26_Q01543_576_1.jpg,26_Q01543_576_2.jpg,26_Q01543_576_3.jpg,26_Q03653_2855_1.jpg,26_Q03653_2855_2.jpg,26_Q03653_2855_3.jpg,26_Q04482_540_1.jpg,26_Q04482_540_2.jpg,26_Q04482_540_3.jpg,26_Q04485_543_1.jpg,26_Q04485_543_2.jpg,26_Q04485_543_3.jpg,"Learning about ways to lower heart rate, including medications."
How is a credit score determined?,F0359,185,credit report,185_Q04872_930_1.jpg,185_Q04872_930_2.jpg,185_Q04872_930_3.jpg,185_Q04877_935_1.jpg,185_Q04877_935_2.jpg,185_Q04877_935_3.jpg,185_Q04876_934_1.jpg,185_Q04876_934_2.jpg,185_Q04876_934_3.jpg,185_Q03428_2116_1.jpg,185_Q03428_2116_2.jpg,185_Q03428_2116_3.jpg,Understanding the factors that influence and determine credit scores.
"""Find the text of Hamlet's famous """"To be or not to be"""" soliloquy.""",F0946,70,to be or not to be that is the question,70_Q05022_1080_1.jpg,70_Q05022_1080_2.jpg,70_Q05022_1080_3.jpg,70_Q02330_951_1.jpg,70_Q02330_951_2.jpg,70_Q02330_951_3.jpg,70_Q05021_1079_1.jpg,70_Q05021_1079_2.jpg,70_Q05021_1079_3.jpg,70_Q01335_587_1.jpg,70_Q01335_587_2.jpg,70_Q01335_587_3.jpg,View the text from Hamlet.
What is ammonia used for in pink slime?,F0763,299,pink slime in ground beef,299_Q01438_1829_1.jpg,299_Q01438_1829_2.jpg,299_Q01438_1829_3.jpg,299_Q02436_1057_1.jpg,299_Q02436_1057_2.jpg,299_Q02436_1057_3.jpg,299_Q04758_816_1.jpg,299_Q04758_816_2.jpg,299_Q04758_816_3.jpg,299_Q01268_145_1.jpg,299_Q01268_145_2.jpg,299_Q01268_145_3.jpg,The user is interested in seeing photos of pink slime ground beef packaging and wants to know the reason for ammonia's presence in the product.
Find information about solar panels that I can install on my home.,F0836,45,solar panels,45_Q00695_1791_1.jpg,45_Q00695_1791_2.jpg,45_Q00695_1791_3.jpg,45_Q04666_724_1.jpg,45_Q04666_724_2.jpg,45_Q04666_724_3.jpg,45_Q01792_1388_1.jpg,45_Q01792_1388_2.jpg,45_Q01792_1388_3.jpg,45_Q00898_544_1.jpg,45_Q00898_544_2.jpg,45_Q00898_544_3.jpg,Looking for information about purchasing and installing solar panels for home installation.
What are the cheapest web hosting companies? Who offers free web hosting?,F0778,32,website design hosting,32_Q05526_1584_1.jpg,32_Q05526_1584_2.jpg,32_Q05526_1584_3.jpg,32_Q02729_3460_1.jpg,32_Q02729_3460_2.jpg,32_Q02729_3460_3.jpg,32_Q05527_1585_1.jpg,32_Q05527_1585_2.jpg,32_Q05527_1585_3.jpg,32_Q02862_658_1.jpg,32_Q02862_658_2.jpg,32_Q02862_658_3.jpg,"Finding affordable and cheap web hosting options, and discovering companies that offer free web hosting."
What are examples of the philosophy of Sun Tzu?,F0656,270,sun tzu,270_Q03497_3037_1.jpg,270_Q03497_3037_2.jpg,270_Q03497_3037_3.jpg,270_Q03873_2701_1.jpg,270_Q03873_2701_2.jpg,270_Q03873_2701_3.jpg,270_Q03317_3154_1.jpg,270_Q03317_3154_2.jpg,270_Q03317_3154_3.jpg,270_Q00299_562_1.jpg,270_Q00299_562_2.jpg,270_Q00299_562_3.jpg,"The user is interested in learning more about Sun Tzu's philosophy in ""The Art of War."""
