facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,image3_1,image3_2,image3_3,image4_1,image4_2,image4_3,query
Find instructions for grilling chicken.,F0245,160,grilling,160_Q05040_1098_1.jpg,160_Q05040_1098_2.jpg,160_Q05040_1098_3.jpg,160_Q00624_2432_1.jpg,160_Q00624_2432_2.jpg,160_Q00624_2432_3.jpg,160_Q05039_1097_1.jpg,160_Q05039_1097_2.jpg,160_Q05039_1097_3.jpg,160_Q05043_1101_1.jpg,160_Q05043_1101_2.jpg,160_Q05043_1101_3.jpg,The user is not interested in recipes.
"""Where can I buy Pink Floyd's album, """"The Wall""""?""",F1039,92,the wall,92_Q01276_3126_1.jpg,92_Q01276_3126_2.jpg,92_Q01276_3126_3.jpg,92_Q00683_3248_1.jpg,92_Q00683_3248_2.jpg,92_Q00683_3248_3.jpg,92_Q01288_542_1.jpg,92_Q01288_542_2.jpg,92_Q01288_542_3.jpg,92_Q03624_3393_1.jpg,92_Q03624_3393_2.jpg,92_Q03624_3393_3.jpg,Inquire further about a specific topic.
I'm looking for companies that manufacture residential toilets.,F0811,4,toilet,4_Q03580_154_1.jpg,4_Q03580_154_2.jpg,4_Q03580_154_3.jpg,4_Q04767_825_1.jpg,4_Q04767_825_2.jpg,4_Q04767_825_3.jpg,4_Q01034_1313_1.jpg,4_Q01034_1313_2.jpg,4_Q01034_1313_3.jpg,4_Q02929_1751_1.jpg,4_Q02929_1751_2.jpg,4_Q02929_1751_3.jpg,The user is not interested in toilet cleaning methods.
What hair dye options should be considered during pregnancy?,F0537,233,hair dye,233_Q01674_2616_1.jpg,233_Q01674_2616_2.jpg,233_Q01674_2616_3.jpg,233_Q02578_276_1.jpg,233_Q02578_276_2.jpg,233_Q02578_276_3.jpg,233_Q05058_1116_1.jpg,233_Q05058_1116_2.jpg,233_Q05058_1116_3.jpg,233_Q05059_1117_1.jpg,233_Q05059_1117_2.jpg,233_Q05059_1117_3.jpg,Not interested in contacting retailers of the product.
Find tips on grilling fish.,F0244,160,grilling,160_Q01979_2885_1.jpg,160_Q01979_2885_2.jpg,160_Q01979_2885_3.jpg,160_Q05040_1098_1.jpg,160_Q05040_1098_2.jpg,160_Q05040_1098_3.jpg,160_Q01731_1244_1.jpg,160_Q01731_1244_2.jpg,160_Q01731_1244_3.jpg,160_Q02162_1777_1.jpg,160_Q02162_1777_2.jpg,160_Q02162_1777_3.jpg,The user is looking for information unrelated to grilling meat.
"Find cures for baldness (other than hair replacement, hair transplants, or wigs).",F0634,262,balding cure,262_Q04851_909_1.jpg,262_Q04851_909_2.jpg,262_Q04851_909_3.jpg,262_Q01793_3936_1.jpg,262_Q01793_3936_2.jpg,262_Q01793_3936_3.jpg,262_Q00073_215_1.jpg,262_Q00073_215_2.jpg,262_Q00073_215_3.jpg,262_Q04849_907_1.jpg,262_Q04849_907_2.jpg,262_Q04849_907_3.jpg,Seek clarification on a different hair loss condition or issue.
What is ammonia used for in pink slime?,F0763,299,pink slime in ground beef,299_Q00375_307_1.jpg,299_Q00375_307_2.jpg,299_Q00375_307_3.jpg,299_Q03743_2245_1.jpg,299_Q03743_2245_2.jpg,299_Q03743_2245_3.jpg,299_Q03149_681_1.jpg,299_Q03149_681_2.jpg,299_Q03149_681_3.jpg,299_Q02130_2691_1.jpg,299_Q02130_2691_2.jpg,299_Q02130_2691_3.jpg,The user is not interested in research studies regarding pink slime in ground beef.
"""What songs were sung on """"Mister Rogers' Neighborhood""""?""",F0689,278,mister rogers,278_Q04468_526_1.jpg,278_Q04468_526_2.jpg,278_Q04468_526_3.jpg,278_Q03258_963_1.jpg,278_Q03258_963_2.jpg,278_Q03258_963_3.jpg,278_Q00067_3026_1.jpg,278_Q00067_3026_2.jpg,278_Q00067_3026_3.jpg,278_Q01231_3571_1.jpg,278_Q01231_3571_2.jpg,278_Q01231_3571_3.jpg,No intent
Suggest tourist activities in Barbados.,F0275,167,barbados,167_Q00150_2772_1.jpg,167_Q00150_2772_2.jpg,167_Q00150_2772_3.jpg,167_Q04796_854_1.jpg,167_Q04796_854_2.jpg,167_Q04796_854_3.jpg,167_Q04792_850_1.jpg,167_Q04792_850_2.jpg,167_Q04792_850_3.jpg,167_Q00149_3278_1.jpg,167_Q00149_3278_2.jpg,167_Q00149_3278_3.jpg,The user is interested in topics other than Barbados ecology.
What causes angular cheilitis?,F0207,152,angular cheilitis,152_Q04383_441_1.jpg,152_Q04383_441_2.jpg,152_Q04383_441_3.jpg,152_Q00008_1369_1.jpg,152_Q00008_1369_2.jpg,152_Q00008_1369_3.jpg,152_Q00767_2715_1.jpg,152_Q00767_2715_2.jpg,152_Q00767_2715_3.jpg,152_Q04381_439_1.jpg,152_Q04381_439_2.jpg,152_Q04381_439_3.jpg,Understanding the differences between Angular cheilitis and a cold sore.
Find information about penguins.,F0893,58,penguins,58_Q02463_2912_1.jpg,58_Q02463_2912_2.jpg,58_Q02463_2912_3.jpg,58_Q03305_365_1.jpg,58_Q03305_365_2.jpg,58_Q03305_365_3.jpg,58_Q04169_227_1.jpg,58_Q04169_227_2.jpg,58_Q04169_227_3.jpg,58_Q00121_2853_1.jpg,58_Q00121_2853_2.jpg,58_Q00121_2853_3.jpg,The user is not interested in watching funny penguin videos.
How do I register to take the SAT exam?,F1060,98,sat,98_Q04058_116_1.jpg,98_Q04058_116_2.jpg,98_Q04058_116_3.jpg,98_Q03426_2747_1.jpg,98_Q03426_2747_2.jpg,98_Q03426_2747_3.jpg,98_Q01682_3464_1.jpg,98_Q01682_3464_2.jpg,98_Q01682_3464_3.jpg,98_Q04060_118_1.jpg,98_Q04060_118_2.jpg,98_Q04060_118_3.jpg,Clarifying the subject of a conversation.
names of artists who have recorded songs about Mother's Day,F0133,132,mothers day songs,132_Q00748_1688_1.jpg,132_Q00748_1688_2.jpg,132_Q00748_1688_3.jpg,132_Q00374_602_1.jpg,132_Q00374_602_2.jpg,132_Q00374_602_3.jpg,132_Q02584_1427_1.jpg,132_Q02584_1427_2.jpg,132_Q02584_1427_3.jpg,132_Q05280_1338_1.jpg,132_Q05280_1338_2.jpg,132_Q05280_1338_3.jpg,The user is not seeking specific song lyrics.
What are the benefits of various yoga poses?,F0725,289,benefits of yoga,289_Q04255_313_1.jpg,289_Q04255_313_2.jpg,289_Q04255_313_3.jpg,289_Q03469_796_1.jpg,289_Q03469_796_2.jpg,289_Q03469_796_3.jpg,289_Q04257_315_1.jpg,289_Q04257_315_2.jpg,289_Q04257_315_3.jpg,289_Q03392_1223_1.jpg,289_Q03392_1223_2.jpg,289_Q03392_1223_3.jpg,The user prefers not to engage with yoga poses currently.
Where can I learn about rock painting or buy a rock-painting kit?,F0308,174,rock art,174_Q01915_1143_1.jpg,174_Q01915_1143_2.jpg,174_Q01915_1143_3.jpg,174_Q01804_448_1.jpg,174_Q01804_448_2.jpg,174_Q01804_448_3.jpg,174_Q01852_3873_1.jpg,174_Q01852_3873_2.jpg,174_Q01852_3873_3.jpg,174_Q02096_1790_1.jpg,174_Q02096_1790_2.jpg,174_Q02096_1790_3.jpg,The user is not interested in buying rock art.
How is CTS diagnosed?,F0475,213,carpal tunnel syndrome,213_Q03238_861_1.jpg,213_Q03238_861_2.jpg,213_Q03238_861_3.jpg,213_Q03373_1048_1.jpg,213_Q03373_1048_2.jpg,213_Q03373_1048_3.jpg,213_Q00815_488_1.jpg,213_Q00815_488_2.jpg,213_Q00815_488_3.jpg,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg,No intent
"Find information about the Sun, the star in our Solar System.",F0953,72,the sun,72_Q03985_43_1.jpg,72_Q03985_43_2.jpg,72_Q03985_43_3.jpg,72_Q00666_3249_1.jpg,72_Q00666_3249_2.jpg,72_Q00666_3249_3.jpg,72_Q03982_40_1.jpg,72_Q03982_40_2.jpg,72_Q03982_40_3.jpg,72_Q02028_1272_1.jpg,72_Q02028_1272_2.jpg,72_Q02028_1272_3.jpg,The user is interested in something other than sun flares.
Do the signs of a heart attack differ between men and women?,F0314,175,signs of a heartattack,175_Q03377_2930_1.jpg,175_Q03377_2930_2.jpg,175_Q03377_2930_3.jpg,175_Q03243_1178_1.jpg,175_Q03243_1178_2.jpg,175_Q03243_1178_3.jpg,175_Q00041_759_1.jpg,175_Q00041_759_2.jpg,175_Q00041_759_3.jpg,175_Q00055_671_1.jpg,175_Q00055_671_2.jpg,175_Q00055_671_3.jpg,No intent identified.
Find Barret's Esophagus studies performed at the Mayo Clinic.,F0603,254,barrett's esophagus,254_Q00559_26_1.jpg,254_Q00559_26_2.jpg,254_Q00559_26_3.jpg,254_Q03707_997_1.jpg,254_Q03707_997_2.jpg,254_Q03707_997_3.jpg,254_Q03658_1037_1.jpg,254_Q03658_1037_2.jpg,254_Q03658_1037_3.jpg,254_Q02390_3414_1.jpg,254_Q02390_3414_2.jpg,254_Q02390_3414_3.jpg,User is not currently considering learning about institutions dealing with the medical condition.
What is the material PVC?,F0935,68,pvc,68_Q04067_125_1.jpg,68_Q04067_125_2.jpg,68_Q04067_125_3.jpg,68_Q04068_126_1.jpg,68_Q04068_126_2.jpg,68_Q04068_126_3.jpg,68_Q02911_1099_1.jpg,68_Q02911_1099_2.jpg,68_Q02911_1099_3.jpg,68_Q00238_2918_1.jpg,68_Q00238_2918_2.jpg,68_Q00238_2918_3.jpg,Not interested in pvc pipes.
What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,213_Q00415_2004_1.jpg,213_Q00415_2004_2.jpg,213_Q00415_2004_3.jpg,213_Q00300_3265_1.jpg,213_Q00300_3265_2.jpg,213_Q00300_3265_3.jpg,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg,213_Q03486_31_1.jpg,213_Q03486_31_2.jpg,213_Q03486_31_3.jpg,Not interested in the causes.
Find puppies of designer dog breeds for sale.,F0388,194,designer dog breeds,194_Q04914_972_1.jpg,194_Q04914_972_2.jpg,194_Q04914_972_3.jpg,194_Q02333_1993_1.jpg,194_Q02333_1993_2.jpg,194_Q02333_1993_3.jpg,194_Q03126_2740_1.jpg,194_Q03126_2740_2.jpg,194_Q03126_2740_3.jpg,194_Q01650_3744_1.jpg,194_Q01650_3744_2.jpg,194_Q01650_3744_3.jpg,Learn about designer dog breeds
What is the nutritional value of white rice?,F1056,96,rice,96_Q00694_2420_1.jpg,96_Q00694_2420_2.jpg,96_Q00694_2420_3.jpg,96_Q00984_3825_1.jpg,96_Q00984_3825_2.jpg,96_Q00984_3825_3.jpg,96_Q02197_29_1.jpg,96_Q02197_29_2.jpg,96_Q02197_29_3.jpg,96_Q02073_3193_1.jpg,96_Q02073_3193_2.jpg,96_Q02073_3193_3.jpg,General interest in rice without a specific focus on a variety.
Find InuYasha anime episodes for download.,F0698,28,inuyasha,28_Q05146_1204_1.jpg,28_Q05146_1204_2.jpg,28_Q05146_1204_3.jpg,28_Q03533_3611_1.jpg,28_Q03533_3611_2.jpg,28_Q03533_3611_3.jpg,28_Q00077_1365_1.jpg,28_Q00077_1365_2.jpg,28_Q00077_1365_3.jpg,28_Q05147_1205_1.jpg,28_Q05147_1205_2.jpg,28_Q05147_1205_3.jpg,Not interested in Inuyasha covers.
"""Find lesson plans or classroom activities related to """"Holes"""" by Louis Sachar.""",F0611,257,holes by louis sachar,257_Q00126_1432_1.jpg,257_Q00126_1432_2.jpg,257_Q00126_1432_3.jpg,257_Q05426_1484_1.jpg,257_Q05426_1484_2.jpg,257_Q05426_1484_3.jpg,257_Q01507_1576_1.jpg,257_Q01507_1576_2.jpg,257_Q01507_1576_3.jpg,257_Q05424_1482_1.jpg,257_Q05424_1482_2.jpg,257_Q05424_1482_3.jpg,The user is interested in buying a book.
I want to read about the debate between John McCain and Barack Obama hosted by Rick Warren.,F0501,22,rick warren,22_Q04840_898_1.jpg,22_Q04840_898_2.jpg,22_Q04839_897_3.jpg,22_Q01606_2782_1.jpg,22_Q01606_2782_2.jpg,22_Q01606_2782_3.jpg,22_Q01364_822_1.jpg,22_Q01364_822_2.jpg,22_Q01364_822_3.jpg,22_Q01422_1010_1.jpg,22_Q01422_1010_2.jpg,22_Q01422_1010_3.jpg,Decline an invitation to see someone's kids.
What solar water fountains are available for gardens.,F0492,218,solar water fountains,218_Q05289_1347_1.jpg,218_Q05289_1347_2.jpg,218_Q05289_1347_3.jpg,218_Q00239_490_1.jpg,218_Q00239_490_2.jpg,218_Q00239_490_3.jpg,218_Q03064_1982_1.jpg,218_Q03064_1982_2.jpg,218_Q03064_1982_3.jpg,218_Q05287_1345_1.jpg,218_Q05287_1345_2.jpg,218_Q05287_1345_3.jpg,Determine artistic style preferences for a fountain in the future.
What are the nutritional facts for cannellini beans?,F0563,242,cannellini beans,242_Q03616_333_1.jpg,242_Q03616_333_2.jpg,242_Q03616_333_3.jpg,242_Q01227_2756_1.jpg,242_Q01227_2756_2.jpg,242_Q01227_2756_3.jpg,242_Q04642_700_1.jpg,242_Q04642_700_2.jpg,242_Q04642_700_3.jpg,242_Q04643_701_1.jpg,242_Q04643_701_2.jpg,242_Q04643_701_3.jpg,None
Find quotes from Mister Rogers.,F0687,278,mister rogers,278_Q02560_3577_1.jpg,278_Q02560_3577_2.jpg,278_Q02560_3577_3.jpg,278_Q03400_2532_1.jpg,278_Q03400_2532_2.jpg,278_Q03400_2532_3.jpg,278_Q04471_529_1.jpg,278_Q04471_529_2.jpg,278_Q04471_529_3.jpg,278_Q00431_1417_1.jpg,278_Q00431_1417_2.jpg,278_Q00431_1417_3.jpg,The user is not interested in the purple panda.
Find a synopsis of Doctor Zhivago.,F0446,208,doctor zhivago,208_Q03555_2131_1.jpg,208_Q03555_2131_2.jpg,208_Q03555_2131_3.jpg,208_Q03292_3046_1.jpg,208_Q03292_3046_2.jpg,208_Q03292_3046_3.jpg,208_Q03415_549_1.jpg,208_Q03415_549_2.jpg,208_Q03415_549_3.jpg,208_Q03542_2192_1.jpg,208_Q03542_2192_2.jpg,208_Q03542_2192_3.jpg,Not interested in learning about the Russian Civil War.
Find information about Mister Rogers' Purple Panda.,F0690,278,mister rogers,278_Q00431_1417_1.jpg,278_Q00431_1417_2.jpg,278_Q00431_1417_3.jpg,278_Q00488_1611_1.jpg,278_Q00488_1611_2.jpg,278_Q00488_1611_3.jpg,278_Q00209_2861_1.jpg,278_Q00209_2861_2.jpg,278_Q00209_2861_3.jpg,278_Q02560_3577_1.jpg,278_Q02560_3577_2.jpg,278_Q02560_3577_3.jpg,Focus on something else related to Mister Rogers.
Where can I find organic or chemical free hair dye products?,F0536,233,hair dye,233_Q02752_890_1.jpg,233_Q02752_890_2.jpg,233_Q02752_890_3.jpg,233_Q00221_2957_1.jpg,233_Q00221_2957_2.jpg,233_Q00221_2957_3.jpg,233_Q01556_143_1.jpg,233_Q01556_143_2.jpg,233_Q01556_143_3.jpg,233_Q05059_1117_1.jpg,233_Q05059_1117_2.jpg,233_Q05059_1117_3.jpg,Not interested in hair dye products.
What went into writing/publishing the book Doctor Zhivago?,F0445,208,doctor zhivago,208_Q01272_3555_1.jpg,208_Q01272_3555_2.jpg,208_Q01272_3555_3.jpg,208_Q03292_3046_1.jpg,208_Q03292_3046_2.jpg,208_Q03292_3046_3.jpg,208_Q04317_375_1.jpg,208_Q04317_375_2.jpg,208_Q04317_375_3.jpg,208_Q02554_1444_1.jpg,208_Q02554_1444_2.jpg,208_Q02554_1444_3.jpg,Seeking clarification on the reference to a movie or a book in a conversation.
information on vines that can be grown in shady areas,F0177,145,vines for shade,145_Q02098_43_1.jpg,145_Q02098_43_2.jpg,145_Q02098_43_3.jpg,145_Q02308_438_1.jpg,145_Q02308_438_2.jpg,145_Q02308_438_3.jpg,145_Q04437_495_1.jpg,145_Q04437_495_2.jpg,145_Q04437_495_3.jpg,145_Q04438_496_1.jpg,145_Q04438_496_2.jpg,145_Q04438_496_3.jpg,None
What are examples of the philosophy of Sun Tzu?,F0656,270,sun tzu,270_Q04163_221_1.jpg,270_Q04163_221_2.jpg,270_Q04163_221_3.jpg,270_Q02157_1584_1.jpg,270_Q02157_1584_2.jpg,270_Q02157_1584_3.jpg,270_Q04162_220_1.jpg,270_Q04162_220_2.jpg,270_Q04162_220_3.jpg,270_Q04164_222_1.jpg,270_Q04164_222_2.jpg,270_Q04164_222_3.jpg,The user wants to discuss or explore a different topic.
What are the withdrawal limitations for a 403b retirement plan?,F0205,151,403b,151_Q04003_61_1.jpg,151_Q04003_61_2.jpg,151_Q04003_61_3.jpg,151_Q01960_2445_1.jpg,151_Q01960_2445_2.jpg,151_Q01960_2445_3.jpg,151_Q01576_2874_1.jpg,151_Q01576_2874_2.jpg,151_Q01576_2874_3.jpg,151_Q04005_63_1.jpg,151_Q04005_63_2.jpg,151_Q04005_63_3.jpg,The user does not intend to learn about the difference between a 401k and a 403b.
How is a credit score determined?,F0359,185,credit report,185_Q03518_364_1.jpg,185_Q03518_364_2.jpg,185_Q03518_364_3.jpg,185_Q01396_500_1.jpg,185_Q01396_500_2.jpg,185_Q01396_500_3.jpg,185_Q04874_932_1.jpg,185_Q04874_932_2.jpg,185_Q04874_932_3.jpg,185_Q00292_722_1.jpg,185_Q00292_722_2.jpg,185_Q00292_722_3.jpg,User has no interest in knowing about a certain credit reporting company.
Find me some providers of free wireless internet access.,F0007,10,cheap internet,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,The user is not interested in home package deals.
Find information on the artwork used on rock music album covers.,F0312,174,rock art,174_Q01852_3873_1.jpg,174_Q01852_3873_2.jpg,174_Q01852_3873_3.jpg,174_Q01841_3284_1.jpg,174_Q01841_3284_2.jpg,174_Q01841_3284_3.jpg,174_Q01210_3649_1.jpg,174_Q01210_3649_2.jpg,174_Q01210_3649_3.jpg,174_Q00830_432_1.jpg,174_Q00830_432_2.jpg,174_Q00830_432_3.jpg,The user is not interested in pictures of rock art.
Find tips on grilling fish.,F0244,160,grilling,160_Q01843_2996_1.jpg,160_Q01843_2996_2.jpg,160_Q01843_2996_3.jpg,160_Q01731_1244_1.jpg,160_Q01731_1244_2.jpg,160_Q01731_1244_3.jpg,160_Q05041_1099_1.jpg,160_Q05041_1099_2.jpg,160_Q05041_1099_3.jpg,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg,Not interested in information about grilling vegetables.
Find information about supports and braces for the forearm to prevent injury or lessen pain.,F1020,88,forearm pain,88_Q00405_2025_1.jpg,88_Q00405_2025_2.jpg,88_Q00405_2025_3.jpg,88_Q00778_1363_1.jpg,88_Q00778_1363_2.jpg,88_Q00778_1363_3.jpg,88_Q05045_1103_1.jpg,88_Q05045_1103_2.jpg,88_Q05045_1103_3.jpg,88_Q05046_1104_1.jpg,88_Q05046_1104_2.jpg,88_Q05046_1104_3.jpg,The user is not interested in specific details about the forearms.
information about the drafting of the Declaration of Independence,F0135,133,all men are created equal,133_Q03598_2402_1.jpg,133_Q03598_2402_2.jpg,133_Q03598_2402_3.jpg,133_Q03764_3859_1.jpg,133_Q03764_3859_2.jpg,133_Q03764_3859_3.jpg,133_Q03745_1273_1.jpg,133_Q03745_1273_2.jpg,133_Q03745_1273_3.jpg,133_Q04637_695_1.jpg,133_Q04637_695_2.jpg,133_Q04637_695_3.jpg,The user is not interested in the Gettysburg Address.
How are VLDL levels determined?,F0931,67,vldl levels,67_Q00536_2437_1.jpg,67_Q00536_2437_2.jpg,67_Q00536_2437_3.jpg,67_Q00249_819_1.jpg,67_Q00249_819_2.jpg,67_Q00249_819_3.jpg,67_Q03837_3578_1.jpg,67_Q03837_3578_2.jpg,67_Q03837_3578_3.jpg,67_Q02842_1205_1.jpg,67_Q02842_1205_2.jpg,67_Q02842_1205_3.jpg,Reduce VLDL levels.
What is the material PVC?,F0935,68,pvc,68_Q04068_126_1.jpg,68_Q04068_126_2.jpg,68_Q04068_126_3.jpg,68_Q02911_1099_1.jpg,68_Q02911_1099_2.jpg,68_Q02911_1099_3.jpg,68_Q00076_1480_1.jpg,68_Q00076_1480_2.jpg,68_Q00076_1480_3.jpg,68_Q00238_2918_1.jpg,68_Q00238_2918_2.jpg,68_Q00238_2918_3.jpg,The user is not interested in PVC ceiling tiles.
What is the history of the Beatles rock band?,F0226,157,the beatles rock band,157_Q01155_3286_1.jpg,157_Q01155_3286_2.jpg,157_Q01155_3286_3.jpg,157_Q04177_235_1.jpg,157_Q04177_235_2.jpg,157_Q04177_235_3.jpg,157_Q04174_232_1.jpg,157_Q04174_232_2.jpg,157_Q04174_232_3.jpg,157_Q01917_561_1.jpg,157_Q01917_561_2.jpg,157_Q01917_561_3.jpg,Their interest is not related to the Beatles' albums.
Where can I buy rock and roll posters?,F0311,174,rock art,174_Q04997_1055_1.jpg,174_Q04997_1055_2.jpg,174_Q04997_1055_3.jpg,174_Q02096_1790_1.jpg,174_Q02096_1790_2.jpg,174_Q02096_1790_3.jpg,174_Q03440_1704_1.jpg,174_Q03440_1704_2.jpg,174_Q03440_1704_3.jpg,174_Q04999_1057_1.jpg,174_Q04999_1057_2.jpg,174_Q04999_1057_3.jpg,Expressing disinterest in ancient rock art.
Find information on the different varieties of figs.,F0216,154,figs,154_Q04869_927_1.jpg,154_Q04869_927_2.jpg,154_Q04869_927_3.jpg,154_Q02564_3269_1.jpg,154_Q02564_3269_2.jpg,154_Q02564_3269_3.jpg,154_Q03527_3834_1.jpg,154_Q03527_3834_2.jpg,154_Q03527_3834_3.jpg,154_Q04868_926_1.jpg,154_Q04868_926_2.jpg,154_Q04868_926_3.jpg,The user wants to express disinterest in fig recipes.
Who got an Academy Award nomination for Doctor Zhivago?,F0447,208,doctor zhivago,208_Q02122_1072_1.jpg,208_Q02122_1072_2.jpg,208_Q02122_1072_3.jpg,208_Q03292_3046_1.jpg,208_Q03292_3046_2.jpg,208_Q03292_3046_3.jpg,208_Q04314_372_1.jpg,208_Q04314_372_2.jpg,208_Q04314_372_3.jpg,208_Q02554_1444_1.jpg,208_Q02554_1444_2.jpg,208_Q02554_1444_3.jpg,No specific intent mentioned.
What wind speed defines an F5 tornado?,F0641,265,F5 tornado,265_Q02989_1935_1.jpg,265_Q02989_1935_2.jpg,265_Q02989_1935_3.jpg,265_Q04359_417_1.jpg,265_Q04359_417_2.jpg,265_Q04359_417_3.jpg,265_Q02550_1400_1.jpg,265_Q02550_1400_2.jpg,265_Q02550_1400_3.jpg,265_Q02796_1516_1.jpg,265_Q02796_1516_2.jpg,265_Q02796_1516_3.jpg,Learn about regions where tornadoes are likely to occur.
Find real estate listings for Roosevelt Island (NY).,F0574,245,roosevelt island,245_Q01820_971_1.jpg,245_Q01820_971_2.jpg,245_Q01820_971_3.jpg,245_Q02755_30_1.jpg,245_Q02755_30_2.jpg,245_Q02755_30_3.jpg,245_Q03696_594_1.jpg,245_Q03696_594_2.jpg,245_Q03696_594_3.jpg,245_Q03820_2993_1.jpg,245_Q03820_2993_2.jpg,245_Q03820_2993_3.jpg,The user is not interested in the Roosevelt Island Tramway.
What went into writing/publishing the book Doctor Zhivago?,F0445,208,doctor zhivago,208_Q01279_1726_1.jpg,208_Q01279_1726_2.jpg,208_Q01279_1726_3.jpg,208_Q01248_1660_1.jpg,208_Q01248_1660_2.jpg,208_Q01248_1660_3.jpg,208_Q04312_370_1.jpg,208_Q04312_370_2.jpg,208_Q04312_370_3.jpg,208_Q00158_3202_1.jpg,208_Q00158_3202_2.jpg,208_Q00158_3202_3.jpg,Find information on a specific individual.
What went into writing/publishing the book Doctor Zhivago?,F0445,208,doctor zhivago,208_Q03415_549_1.jpg,208_Q03415_549_2.jpg,208_Q03415_549_3.jpg,208_Q01248_1660_1.jpg,208_Q01248_1660_2.jpg,208_Q01248_1660_3.jpg,208_Q04313_371_1.jpg,208_Q04313_371_2.jpg,208_Q04313_371_3.jpg,208_Q01279_1726_1.jpg,208_Q01279_1726_2.jpg,208_Q01279_1726_3.jpg,Expressing disinterest in information about the 2002 ministries.
Find information on mini gastric bypass surgery.,F1034,90,mgb,90_Q05229_1287_1.jpg,90_Q05229_1287_2.jpg,90_Q05229_1287_3.jpg,90_Q05228_1286_1.jpg,90_Q05228_1286_2.jpg,90_Q05228_1286_3.jpg,90_Q05232_1290_1.jpg,90_Q05232_1290_2.jpg,90_Q05232_1290_3.jpg,90_Q00867_2893_1.jpg,90_Q00867_2893_2.jpg,90_Q00867_2893_3.jpg,The user is not currently interested in purchasing MGBs.
Find contact information for the California FTB.,F0073,116,california franchise tax board,116_Q02471_2677_1.jpg,116_Q02471_2677_2.jpg,116_Q02471_2677_3.jpg,116_Q03944_2_1.jpg,116_Q03944_2_2.jpg,116_Q03944_2_3.jpg,116_Q01683_147_1.jpg,116_Q01683_147_2.jpg,116_Q01683_147_3.jpg,116_Q03942_0_1.jpg,116_Q03942_0_2.jpg,116_Q03942_0_3.jpg,The user is not looking to do an entity search.
I'm looking for baseball scores and information on upcoming live broadcast games.,F0194,15,espn sports,15_Q01815_77_1.jpg,15_Q01815_77_2.jpg,15_Q01815_77_3.jpg,15_Q02273_151_1.jpg,15_Q02273_151_2.jpg,15_Q02273_151_3.jpg,15_Q05610_1668_1.jpg,15_Q05610_1668_2.jpg,15_Q05610_1668_3.jpg,15_Q05608_1666_1.jpg,15_Q05608_1666_2.jpg,15_Q05608_1666_3.jpg,The user is not interested in information about ESPN sports personalities.
What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,213_Q05615_1673_1.jpg,213_Q05615_1673_2.jpg,213_Q05615_1673_3.jpg,213_Q01113_3390_1.jpg,213_Q01113_3390_2.jpg,213_Q01113_3390_3.jpg,213_Q05614_1672_1.jpg,213_Q05614_1672_2.jpg,213_Q05614_1672_3.jpg,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg,Focus on other aspects of their health.
Find instructions for grilling chicken.,F0245,160,grilling,160_Q05042_1100_1.jpg,160_Q05042_1100_2.jpg,160_Q05042_1100_3.jpg,160_Q00624_2432_1.jpg,160_Q00624_2432_2.jpg,160_Q00624_2432_3.jpg,160_Q00218_1794_1.jpg,160_Q00218_1794_2.jpg,160_Q00218_1794_3.jpg,160_Q02432_3898_1.jpg,160_Q02432_3898_2.jpg,160_Q02432_3898_3.jpg,The user is not interested in comparing different companies that make grilling equipment.
What is the medical term for male menopause?,F0511,222,male menopause,222_Q04568_626_1.jpg,222_Q04568_626_2.jpg,222_Q04568_626_3.jpg,222_Q03645_3923_1.jpg,222_Q03645_3923_2.jpg,222_Q03645_3923_3.jpg,222_Q00578_1377_1.jpg,222_Q00578_1377_2.jpg,222_Q00578_1377_3.jpg,222_Q02251_1125_1.jpg,222_Q02251_1125_2.jpg,222_Q02251_1125_3.jpg,The user's intent is to decline interest in treatment options for male menopause.
What does the US capital tax rate consist of and how is it broken down?,F0481,214,capital gains tax rate,214_Q03474_2102_1.jpg,214_Q03474_2102_2.jpg,214_Q03474_2102_3.jpg,214_Q01559_1687_1.jpg,214_Q01559_1687_2.jpg,214_Q01559_1687_3.jpg,214_Q02742_1598_1.jpg,214_Q02742_1598_2.jpg,214_Q02742_1598_3.jpg,214_Q01768_2269_1.jpg,214_Q01768_2269_2.jpg,214_Q01768_2269_3.jpg,The user is not interested in knowing how to avoid capital gains tax rate.
