id,facet,facet_id,topic_id,topic,question1,answer1,id_1,image1_1,image1_2,image1_3,question2,answer2,id_2,image2_1,image2_2,image2_3,question3,answer3,id_3,image3_1,image3_2,image3_3
22,Find information about the business that C. J. Walker started.,F0020,103,madam cj walker,would you like to see examples of walkers impact on current hair styling,"No, I'm focusing on the history of C. J. Walker's business.",Q03841,103_Q03841_315_1.jpg,103_Q03841_315_2.jpg,103_Q03841_315_3.jpg,would you like to know the birthplace of madam cj walker,I'm interested in discovering more about her entrepreneurial ventures.,Q03581,103_Q03581_2127_1.jpg,103_Q03581_2127_2.jpg,103_Q03581_2127_3.jpg,do you want to know what madam cj walker invented,"Actually, I'm interested in finding information about the business that C. J. Walker started.",Q02290,103_Q02290_1055_1.jpg,103_Q02290_1055_2.jpg,103_Q02290_1055_3.jpg
23,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,would you like to see more early africanamerican entrepeneurs,"No, that's not something I'm focused on right now.",Q03860,103_Q03860_3723_1.jpg,103_Q03860_3723_2.jpg,103_Q03860_3723_3.jpg,do you want to know what madam cj walker invented,I am looking into her contributions to various important causes and how she engaged with the issues of her time.,Q02290,103_Q02290_1055_1.jpg,103_Q02290_1055_2.jpg,103_Q02290_1055_3.jpg,do you want to know what madam cj walker is famous for,No. I want to find information about C.J. Walker's involvement in the political and social issues of her day.,Q02291,103_Q02291_2998_1.jpg,103_Q02291_2998_2.jpg,103_Q02291_2998_3.jpg
24,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,would you like to see more early africanamerican entrepeneurs,"No, I don't have an interest in that at the moment.",Q03860,103_Q03860_3723_1.jpg,103_Q03860_3723_2.jpg,103_Q03860_3723_3.jpg,do you want to know what madam cj walker invented,I am interested in exploring her contributions beyond just her inventions.,Q02290,103_Q02290_1055_1.jpg,103_Q02290_1055_2.jpg,103_Q02290_1055_3.jpg,do you want to know what madam cj walker is famous for,No. I want to find information about C.J. Walker's involvement in the political and social issues of her day.,Q02291,103_Q02291_2998_1.jpg,103_Q02291_2998_2.jpg,103_Q02291_2998_3.jpg
25,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,Would you like to know about the self made millionaire?,"No, I don't have an interest in that topic right now.",Q05486,103_Q05486_1544_1.jpg,103_Q05486_1544_2.jpg,103_Q05486_1544_3.jpg,Do you want to learn about how Madam C. J. Walker made her fortune?,"I'm not particularly interested in that aspect, but I'm curious about her impact on social issues.",Q05484,103_Q05484_1542_1.jpg,103_Q05484_1542_2.jpg,103_Q05484_1542_3.jpg,would you like to know the birthplace of madam cj walker,No. I want to know how she was involved in politics and social issues.,Q03581,103_Q03581_2127_1.jpg,103_Q03581_2127_2.jpg,103_Q03581_2127_3.jpg
26,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,would you like to see more early africanamerican entrepeneurs,"No, that's not something I'm interested in discussing.",Q03860,103_Q03860_3723_1.jpg,103_Q03860_3723_2.jpg,103_Q03860_3723_3.jpg,would you like to know about madam cj walkers products,I'm more interested in her impact on societal issues than her products.,Q03397,103_Q03397_3092_1.jpg,103_Q03397_3092_2.jpg,103_Q03397_3092_3.jpg,Do you want to learn some interesting facts about Madam C. J. Walker?,Sure. I want to know how she was involved in political and social issues of her day.,Q05483,103_Q05483_1541_1.jpg,103_Q05483_1541_2.jpg,103_Q05483_1541_3.jpg
27,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,would you like to see more early africanamerican entrepeneurs,"No, I am not interested in that topic.",Q03860,103_Q03860_3723_1.jpg,103_Q03860_3723_2.jpg,103_Q03860_3723_3.jpg,do you want to know what madam cj walker invented,I'm more interested in her contributions to important issues of her time rather than her inventions.,Q02290,103_Q02290_1055_1.jpg,103_Q02290_1055_2.jpg,103_Q02290_1055_3.jpg,Do you want to learn some interesting facts about Madam C. J. Walker?,Sure. I want to know how she was involved in political and social issues of her day.,Q05483,103_Q05483_1541_1.jpg,103_Q05483_1541_2.jpg,103_Q05483_1541_3.jpg
28,Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,Do you want to see forms from Indiana child support?,"No, I'm not interested in those forms at the moment.",Q05212,104_Q05212_1270_1.jpg,104_Q05212_1270_2.jpg,104_Q05212_1270_3.jpg,do you pay child support in indiana,I am primarily interested in understanding the relevant legal aspects and guidelines regarding child support in Indiana.,Q01745,104_Q01745_2600_1.jpg,104_Q01745_2600_2.jpg,104_Q01745_2600_3.jpg,Would you like to gather information on Indiana child support?,yes i need more details about the child support in IN,Q05211,104_Q05211_1269_1.jpg,104_Q05211_1269_2.jpg,104_Q05211_1269_3.jpg
29,Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,would you like a list of forms for processing child support claims,"No, I'm focusing on finding the official legal rules and procedures relating to child support in Indiana.",Q03163,104_Q03163_2095_1.jpg,104_Q03163_2095_2.jpg,104_Q03163_2095_3.jpg,Would you like to know how to make child support payments in Indiana?,I need guidance on what steps to take next after the order has been made.,Q05208,104_Q05208_1266_1.jpg,104_Q05208_1266_2.jpg,104_Q05208_1266_3.jpg,are you seeking support of a child in indiana,"Yes, I am seeking to find the official legal rules and procedures pertaining to child support in Indiana.",Q01325,104_Q01325_3693_1.jpg,104_Q01325_3693_2.jpg,104_Q01325_3693_3.jpg
30,Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,would you like details on how to pay child support,"No, I'm not looking for details on how to pay child support at this time.",Q03198,104_Q03198_2468_1.jpg,104_Q03198_2468_2.jpg,104_Q03198_2468_3.jpg,do you owe child support in indiana,I have some questions about the relevant regulations.,Q01744,104_Q01744_2389_1.jpg,104_Q01744_2389_2.jpg,104_Q01744_2389_3.jpg,are you interested in child support resources,"Yes, but for Indiana",Q00169,104_Q00169_202_1.jpg,104_Q00169_202_2.jpg,104_Q00169_202_3.jpg
31,Help me calculate my child support obligation in Indiana.,F0023,104,indiana child support,do you pay child support in indiana,"No, I'm not currently in that situation.",Q01745,104_Q01745_2600_1.jpg,104_Q01745_2600_2.jpg,104_Q01745_2600_3.jpg,Would you like to know how to make child support payments in Indiana?,"I'm not interested in the payment methods specifically, but I do have questions about my obligations.",Q05208,104_Q05208_1266_1.jpg,104_Q05208_1266_2.jpg,104_Q05208_1266_3.jpg,are you seeking support of a child in indiana,"No, I want to find out how much I owe.",Q01325,104_Q01325_3693_1.jpg,104_Q01325_3693_2.jpg,104_Q01325_3693_3.jpg
32,Help me calculate my child support obligation in Indiana.,F0023,104,indiana child support,Would you like to gather information on Indiana child support?,"No, I am not interested in calculating child support at this time.",Q05211,104_Q05211_1269_1.jpg,104_Q05211_1269_2.jpg,104_Q05211_1269_3.jpg,Would you like to know how to make child support payments in Indiana?,"I have some specific concerns related to child support, but I'm not looking for payment options right now.",Q05208,104_Q05208_1266_1.jpg,104_Q05208_1266_2.jpg,104_Q05208_1266_3.jpg,do you pay child support in indiana,"Yes, I do pay child support in Indiana, and I need help calculating my child support obligation.",Q01745,104_Q01745_2600_1.jpg,104_Q01745_2600_2.jpg,104_Q01745_2600_3.jpg
33,Help me calculate my child support obligation in Indiana.,F0023,104,indiana child support,Do you want to see forms from Indiana child support?,"No, I am not interested in seeing forms at this time.",Q05212,104_Q05212_1270_1.jpg,104_Q05212_1270_2.jpg,104_Q05212_1270_3.jpg,do you want wording of child support laws,I'm primarily focused on child support laws specific to Indiana. Is there a way to determine the amount I need to pay?,Q02467,104_Q02467_3196_1.jpg,104_Q02467_3196_2.jpg,104_Q02467_3196_3.jpg,are you seeking support of a child in indiana,"Yes, I am seeking help to calculate my child support obligation in Indiana.",Q01325,104_Q01325_3693_1.jpg,104_Q01325_3693_2.jpg,104_Q01325_3693_3.jpg
34,Find law firms that offer services relevant to child support in Indiana.,F0024,104,indiana child support,would you like a list of forms for processing child support claims,"No, I am not in need of that specific information at this time.",Q03163,104_Q03163_2095_1.jpg,104_Q03163_2095_2.jpg,104_Q03163_2095_3.jpg,do you owe child support in indiana,"I'm not currently in that situation, but I may need assistance with related services in the future.",Q01744,104_Q01744_2389_1.jpg,104_Q01744_2389_2.jpg,104_Q01744_2389_3.jpg,Do you want to see forms from Indiana child support?,"No, I need the names of law firms that do work regarding child support in Indiana.",Q05212,104_Q05212_1270_1.jpg,104_Q05212_1270_2.jpg,104_Q05212_1270_3.jpg
35,Find law firms that offer services relevant to child support in Indiana.,F0024,104,indiana child support,do you owe child support in indiana,"No, I do not have any obligations related to child support in Indiana.",Q01744,104_Q01744_2389_1.jpg,104_Q01744_2389_2.jpg,104_Q01744_2389_3.jpg,do you want wording of child support laws,"I'm primarily interested in finding relevant services, but I'm not looking for specific legal wording at this time.",Q02467,104_Q02467_3196_1.jpg,104_Q02467_3196_2.jpg,104_Q02467_3196_3.jpg,which counties law would you like clarification on,"I'm not looking for information about laws, I want to find a law firm.",Q03015,104_Q03015_1214_1.jpg,104_Q03015_1214_2.jpg,104_Q03015_1214_3.jpg
36,"What medical services are available in Sonoma County, California?",F0025,105,sonoma county medical services,do you need any specific information on health insurance,"No, I'm simply looking for information on medical services available in Sonoma County, California.",Q01605,105_Q01605_1286_1.jpg,105_Q01605_1286_2.jpg,105_Q01605_1286_3.jpg,are you interested in the human services department,"I'm looking into various medical services available, but I'm not particularly focused on the human services department at the moment.",Q00457,105_Q00457_3360_1.jpg,105_Q00457_3360_2.jpg,105_Q00457_3360_3.jpg,Are you interested in medical services available in Sonoma County?,"Yes, I am interested in learning about the medical services available in Sonoma County, California.",Q04117,105_Q04117_175_1.jpg,105_Q04117_175_2.jpg,105_Q04117_175_3.jpg
37,"Find demographic information about Cass County, MO.",F0031,107,cass county missouri,do you want to know about the schools in cass county missouri,"No, I'm not interested in that topic.",Q02005,107_Q02005_2148_1.jpg,107_Q02005_2148_2.jpg,107_Q02005_2148_3.jpg,there are some interesting historical facts about cass county shall i show them to you,"I'm interested in exploring information about the area, but historical facts aren't what I'm looking for right now.",Q02671,107_Q02671_2009_1.jpg,107_Q02671_2009_2.jpg,107_Q02671_2009_3.jpg,Do you want to see a map?,"No. I would like to find demographic information about Cass County, Missouri.",Q04128,107_Q04128_186_1.jpg,107_Q04128_186_2.jpg,107_Q04128_186_3.jpg
38,"What was the 2008 budget for Cass County, MO?",F0032,107,cass county missouri,Do you want to see a map?,"No, I’m not interested in that at the moment.",Q04128,107_Q04128_186_1.jpg,107_Q04128_186_2.jpg,107_Q04128_186_3.jpg,which part of cass county are you referring to,I would like to obtain budget information regarding the county as a whole.,Q03051,107_Q03051_2988_1.jpg,107_Q03051_2988_2.jpg,107_Q03051_2988_3.jpg,which neighborhood in cass county are you interested in,I am interested in Cass County as a whole.,Q03041,107_Q03041_338_1.jpg,107_Q03041_338_2.jpg,107_Q03041_338_3.jpg
39,"What was the 2008 budget for Cass County, MO?",F0032,107,cass county missouri,would you like to know more about the city,"No, I am not interested in that at the moment.",Q03544,107_Q03544_37_1.jpg,107_Q03544_37_2.jpg,107_Q03544_37_3.jpg,Are you looking for things to do in Cass County Missouri?,"I have some specific interests in mind, but they might not align with that.",Q04127,107_Q04127_185_1.jpg,107_Q04127_185_2.jpg,107_Q04127_185_3.jpg,Are you interested in government offcials from cass county missouri?,"No. I would like to know what the 2008 budget was for Cass County, MO.",Q04125,107_Q04125_183_1.jpg,107_Q04125_183_2.jpg,107_Q04125_183_3.jpg
40,"Information about zoning regulations in Cass County, Missouri.",F0034,107,cass county missouri,are you looking for government service,"No, I am not in need of government services at this time.",Q00848,107_Q00848_3470_1.jpg,107_Q00848_3470_2.jpg,107_Q00848_3470_3.jpg,are you interested in a list of homes for sale in cass county,I'm more interested in understanding the local regulations rather than listings at the moment.,Q00086,107_Q00086_1943_1.jpg,107_Q00086_1943_2.jpg,107_Q00086_1943_3.jpg,would you like to know more about the city,I want to find out more about the zoning regulations in Cass County.,Q03544,107_Q03544_37_1.jpg,107_Q03544_37_2.jpg,107_Q03544_37_3.jpg
41,"Information about zoning regulations in Cass County, Missouri.",F0034,107,cass county missouri,Are you looking for things to do in Cass County Missouri?,"No, that is not what I am interested in at the moment.",Q04127,107_Q04127_185_1.jpg,107_Q04127_185_2.jpg,107_Q04127_185_3.jpg,are you interested in a list of homes for sale in cass county,"I have some questions about the local regulations, but I'm not looking for homes at the moment.",Q00086,107_Q00086_1943_1.jpg,107_Q00086_1943_2.jpg,107_Q00086_1943_3.jpg,which neighborhood in cass county are you interested in,I'm just looking for information about zoning regulations in Cass County.,Q03041,107_Q03041_338_1.jpg,107_Q03041_338_2.jpg,107_Q03041_338_3.jpg
42,"Information about zoning regulations in Cass County, Missouri.",F0034,107,cass county missouri,there are some interesting historical facts about cass county shall i show them to you,"No, I'm not interested in that information right now.",Q02671,107_Q02671_2009_1.jpg,107_Q02671_2009_2.jpg,107_Q02671_2009_3.jpg,can i help you find something on a map,I'm interested in a specific type of map that could help with my search.,Q01469,107_Q01469_3576_1.jpg,107_Q01469_3576_2.jpg,107_Q01469_3576_3.jpg,would you like to know more about the city,I want to find out more about the zoning regulations in Cass County.,Q03544,107_Q03544_37_1.jpg,107_Q03544_37_2.jpg,107_Q03544_37_3.jpg
43,"Information about zoning regulations in Cass County, Missouri.",F0034,107,cass county missouri,there are some interesting historical facts about cass county shall i show them to you,"No, I am not interested in historical facts about Cass County.",Q02671,107_Q02671_2009_1.jpg,107_Q02671_2009_2.jpg,107_Q02671_2009_3.jpg,are you looking for a specific part of missouri,I'm interested in a specific area of Missouri and its regulations.,Q00685,107_Q00685_2871_1.jpg,107_Q00685_2871_2.jpg,107_Q00685_2871_3.jpg,which neighborhood in cass county are you interested in,I'm just looking for information about zoning regulations in Cass County.,Q03041,107_Q03041_338_1.jpg,107_Q03041_338_2.jpg,107_Q03041_338_3.jpg
