id,facet,facet_id,topic_id,topic,question1,answer1,question_id1,image1_1,image1_2,image1_3,question2,answer2,question_id2,image2_1,image2_2,image2_3,question3,answer3,question_id3,image3_1,image3_2,image3_3,question4,answer4,question_id4,image4_1,image4_2,image4_3
44,I want to find cheap DSL providers.,F0008,10,cheap internet,are you wondering who used cheap internet,"I'm interested in finding affordable options for internet service, but I haven't narrowed it down yet.",Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,are you looking for information on any specific internet technology,"Yes, DSL, I am looking to find cheap providers.",Q00889,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,,,,,,,,,,,,
45,I want to find cheap DSL providers.,F0008,10,cheap internet,what companies have the lowestcost internet service,"I'm exploring different options for internet service, but I haven't narrowed it down to specific companies yet.",Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,are you interested in finding cheap items on the internet,Yes. I'm looking for cheap DSL providers.,Q00198,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,,,,,,,,,,,,
46,I want to find cheap DSL providers.,F0008,10,cheap internet,are you wondering who used cheap internet,I'm more interested in exploring options for affordable internet services.,Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,are you wondering where cheap internet is,"Yes, shoe me cheap DSL providers.",Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,,,,,,,,,,,,
47,I want to find cheap DSL providers.,F0008,10,cheap internet,Are you looking for cheap ways to purchase internet traffic?,"I'm exploring some options for internet services, but nothing is finalized just yet.",Q05640,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,Would you like news on cheap internet?,"No, I want to find a cheap DSL provider.",Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,,,,,,,,,,,,
48,Is there a way to get internet access without phone service?,F0009,10,cheap internet,what companies have the lowestcost internet service,"I'm not in a position to provide specific information, but I have some general interests in exploring options.",Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,are you wondering which provider has the cheapest internet,No. I would like to find Internet access without phone service.,Q01460,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,,,,,,,,,,,,
49,Is there a way to get internet access without phone service?,F0009,10,cheap internet,what companies have the lowestcost internet service,"I'm unsure about the best options, but I am exploring potential solutions for internet access.",Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,are you wondering which provider has the cheapest internet,No. I would like to find Internet access without phone service.,Q01460,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,,,,,,,,,,,,
50,Is there a way to get internet access without phone service?,F0009,10,cheap internet,are you looking for any bundles or deals,"I'm currently evaluating options for internet access, but I'm not fully committed to any specific service yet.",Q00734,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,are you wondering which provider has the cheapest internet,No. I would like to find Internet access without phone service.,Q01460,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,,,,,,,,,,,,
51,Is there a way to get internet access without phone service?,F0009,10,cheap internet,are you interested in finding cheap items on the internet,I am exploring options for accessing the internet without relying on traditional phone services.,Q00198,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,are you looking to buy cheap internet,No.,Q01144,10_Q01144_1362_1.jpg,10_Q01144_1362_2.jpg,10_Q01144_1362_3.jpg,,,,,,,,,,,,
52,Is there a way to get internet access without phone service?,F0009,10,cheap internet,are you interested in finding cheap items on the internet,"I have some interests in exploring options online, though I'm not looking to get into specifics at the moment.",Q00198,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,are you looking for information on any specific internet technology,Yes. I would like to know if there is a way to get internet access without phone service.,Q00889,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,,,,,,,,,,,,
53,Is there a way to get internet access without phone service?,F0009,10,cheap internet,are you interested in finding cheap items on the internet,"Well, I have some thoughts on that, but I need to explore a few options first.",Q00198,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,are you looking for information on any specific internet technology,Yes. I would like to know if there is a way to get internet access without phone service.,Q00889,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,,,,,,,,,,,,
54,Is there a way to get internet access without phone service?,F0009,10,cheap internet,Would you like a home package deals?,I am exploring options for internet access that don’t involve traditional phone services at this time.,Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,are you wondering which provider has the cheapest internet,No. I would like to find Internet access without phone service.,Q01460,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,,,,,,,,,,,,
55,Is there a way to get internet access without phone service?,F0009,10,cheap internet,are you interested in finding cheap items on the internet,"I'm exploring some options, but I haven't settled on anything specific yet.",Q00198,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,are you looking to buy cheap internet,"no, I'm enquiring to know if there's a way to get internet access without phone service",Q01144,10_Q01144_1362_1.jpg,10_Q01144_1362_2.jpg,10_Q01144_1362_3.jpg,,,,,,,,,,,,
56,Is there a way to get internet access without phone service?,F0009,10,cheap internet,Would you like news on cheap internet?,I'm not particularly interested in news related to internet plans.,Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,are you wondering who used cheap internet,Unsure how to answer. I am looking for information on how to get internet access without phone service.,Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,,,,,,,,,,,,
57,Find information about the Ritz Carlton resort at Lake Las Vegas.,F0010,101,ritz carlton lake las vegas,are you wanting a room at the ritz carlton in las vegas,I'm interested in the Ritz Carlton at Lake Las Vegas and would like to gather some detailed information about it. The pictures showcased here caught my eye.,Q01397,101_Q01397_1043_1.jpg,101_Q01397_1043_2.jpg,101_Q01397_1043_3.jpg,Are you interested in the price of the Ritz Carlton in Las Vegas?,Sure but I just want general information about it,Q04390,101_Q04390_448_1.jpg,101_Q04390_448_2.jpg,101_Q04390_448_3.jpg,,,,,,,,,,,,
58,Find information about the Ritz Carlton resort at Lake Las Vegas.,F0010,101,ritz carlton lake las vegas,Are you interested in seeing the hotel room that are located by the Ritz Carlton Lake in Las Vegas?,"I'm not particularly focused on the hotel room specifics at the moment, but I might explore options in the future.",Q04388,101_Q04388_446_1.jpg,101_Q04388_446_2.jpg,101_Q04388_446_3.jpg,Are you interested in seeing pictures of the Ritz Carlton Lake?,Sure but I need more information in general about the place.,Q04387,101_Q04387_445_1.jpg,101_Q04387_445_2.jpg,101_Q04387_445_3.jpg,,,,,,,,,,,,
59,Find a site where I can determine room price and availability.,F0011,101,ritz carlton lake las vegas,are you looking for the closest lake to the ritz carlton in las vegas,I want to locate a website that gives me some information on pricing and availability.,Q01055,101_Q01055_2046_1.jpg,101_Q01055_2046_2.jpg,101_Q01055_2046_3.jpg,Are you interested in the history of the Ritz Carlton in Las Vegas?,"Not really but the pictures are quite interesting, I'm interested in site where I can determine room price and availability.",Q04392,101_Q04392_450_1.jpg,101_Q04392_450_2.jpg,101_Q04392_450_3.jpg,,,,,,,,,,,,
60,Find a site where I can determine room price and availability.,F0011,101,ritz carlton lake las vegas,Are you interested in seeing pictures of the Ritz Carlton Lake?,"I'm not entirely sure yet, but I'm definitely interested in exploring some options.",Q04387,101_Q04387_445_1.jpg,101_Q04387_445_2.jpg,101_Q04387_445_3.jpg,are you wondering where the ritz carlton in las vegas is located,"No, I want to know where I can find price and availability.",Q01457,101_Q01457_425_1.jpg,101_Q01457_425_2.jpg,101_Q01457_425_3.jpg,,,,,,,,,,,,
