id,facet,facet_id,topic_id,topic,question1,answer1,id_1,image1_1,image1_2,image1_3,question2,answer2,id_2,image2_1,image2_2,image2_3,question3,answer3,id_3,image3_1,image3_2,image3_3,question4,answer4,id_4,image4_1,image4_2,image4_3
10,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,do you want to know what madam cj walker invented,"No, I’m not interested in that topic.  ",Q02290,103_Q02290_1055_1.jpg,103_Q02290_1055_2.jpg,103_Q02290_1055_3.jpg,would you like to see examples of walkers impact on current hair styling,"No, I’m not focused on that aspect.",Q03841,103_Q03841_315_1.jpg,103_Q03841_315_2.jpg,103_Q03841_315_3.jpg,would you like to know about madam cj walkers products,I’m more interested in her broader contributions and influence during her time.,Q03397,103_Q03397_3092_1.jpg,103_Q03397_3092_2.jpg,103_Q03397_3092_3.jpg,do you want to know what madam cj walker is famous for,No. I want to find information about C.J. Walker's involvement in the political and social issues of her day.,Q02291,103_Q02291_2998_1.jpg,103_Q02291_2998_2.jpg,103_Q02291_2998_3.jpg
11,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,Do you want to learn about how Madam C. J. Walker made her fortune?,"No, that's not something I'm interested in.  ",Q05484,103_Q05484_1542_1.jpg,103_Q05484_1542_2.jpg,103_Q05484_1542_3.jpg,do you want to know what madam cj walker invented,"No, that's not relevant to what I'm focusing on right now.",Q02290,103_Q02290_1055_1.jpg,103_Q02290_1055_2.jpg,103_Q02290_1055_3.jpg,would you like to know about walkers method of perming hair,I'm interested in her historical significance and contributions to broader societal issues.,Q03436,103_Q03436_1241_1.jpg,103_Q03436_1241_2.jpg,103_Q03436_1241_3.jpg,"Are you wanting information about madam cj walker dolls, books, commemorative items, or something else?",I'd like to know of her involvements in her time.,Q05487,103_Q05487_1545_1.jpg,103_Q05487_1545_2.jpg,103_Q05487_1545_3.jpg
12,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,Do you want to learn about how Madam C. J. Walker made her fortune?,"No, I am not interested in that subject.  ",Q05484,103_Q05484_1542_1.jpg,103_Q05484_1542_2.jpg,103_Q05484_1542_3.jpg,are you looking for any specific information about the business she started,"No, that is not what I am focusing on.",Q00744,103_Q00744_431_1.jpg,103_Q00744_431_2.jpg,103_Q00744_431_3.jpg,would you like to know about madam cj walkers products,I am more interested in exploring her contributions to social and political matters.,Q03397,103_Q03397_3092_1.jpg,103_Q03397_3092_2.jpg,103_Q03397_3092_3.jpg,do you want to know what madam cj walker is famous for,No. I want to find information about C.J. Walker's involvement in the political and social issues of her day.,Q02291,103_Q02291_2998_1.jpg,103_Q02291_2998_2.jpg,103_Q02291_2998_3.jpg
13,Find the official legal rules and procedures pertaining to child support in Indiana.,F0022,104,indiana child support,are you interested in getting details on finding a lawyer for child support,"No, I'm not currently looking for that information.  ",Q00215,104_Q00215_900_1.jpg,104_Q00215_900_2.jpg,104_Q00215_900_3.jpg,Would you like to find out how child support in Indiana is calculated?,"No, I'm not interested in exploring that right now.",Q05209,104_Q05209_1267_1.jpg,104_Q05209_1267_2.jpg,104_Q05209_1267_3.jpg,do you owe child support in indiana,I have some questions about the rules surrounding it.,Q01744,104_Q01744_2389_1.jpg,104_Q01744_2389_2.jpg,104_Q01744_2389_3.jpg,are you seeking support of a child in indiana,"Yes, I am looking to find the official legal rules and procedures pertaining to child support in Indiana.",Q01325,104_Q01325_3693_1.jpg,104_Q01325_3693_2.jpg,104_Q01325_3693_3.jpg
14,Help me calculate my child support obligation in Indiana.,F0023,104,indiana child support,Would you like to find out how child support in Indiana is calculated?,"No, that’s not something I'm interested in.  ",Q05209,104_Q05209_1267_1.jpg,104_Q05209_1267_2.jpg,104_Q05209_1267_3.jpg,Would you like to know how to make child support payments in Indiana?,"No, that's not relevant to my current situation.",Q05208,104_Q05208_1266_1.jpg,104_Q05208_1266_2.jpg,104_Q05208_1266_3.jpg,would you like a list of forms for processing child support claims,"I'm primarily interested in understanding the calculations involved, rather than the paperwork.",Q03163,104_Q03163_2095_1.jpg,104_Q03163_2095_2.jpg,104_Q03163_2095_3.jpg,do you pay child support in indiana,"Yes, I do pay child support in Indiana, and I need help calculating my child support obligation.",Q01745,104_Q01745_2600_1.jpg,104_Q01745_2600_2.jpg,104_Q01745_2600_3.jpg
15,Find law firms that offer services relevant to child support in Indiana.,F0024,104,indiana child support,do you want wording of child support laws,"No, I'm not looking for that information.  ",Q02467,104_Q02467_3196_1.jpg,104_Q02467_3196_2.jpg,104_Q02467_3196_3.jpg,Do you want to see forms from Indiana child support?,"No, that's not something I'm interested in.",Q05212,104_Q05212_1270_1.jpg,104_Q05212_1270_2.jpg,104_Q05212_1270_3.jpg,are you interested in getting details on finding a lawyer for child support,I'm interested in legal assistance related to family matters.,Q00215,104_Q00215_900_1.jpg,104_Q00215_900_2.jpg,104_Q00215_900_3.jpg,are you seeking support of a child in indiana,"Yes, I am looking to find law firms that offer services relevant to child support in Indiana.",Q01325,104_Q01325_3693_1.jpg,104_Q01325_3693_2.jpg,104_Q01325_3693_3.jpg
16,"What medical services are available in Sonoma County, California?",F0025,105,sonoma county medical services,are you interested in the human services department,"No, I am not looking for that kind of assistance.  ",Q00457,105_Q00457_3360_1.jpg,105_Q00457_3360_2.jpg,105_Q00457_3360_3.jpg,are you looking for specific program information,"No, that's not what I need right now.",Q01035,105_Q01035_3614_1.jpg,105_Q01035_3614_2.jpg,105_Q01035_3614_3.jpg,Are you looking for emergency services for sonoma county medical services?,I am interested in understanding the range of services that are offered in the area.,Q04116,105_Q04116_174_1.jpg,105_Q04116_174_2.jpg,105_Q04116_174_3.jpg,Are you interested in medical services available in Sonoma County?,"Yes, I am interested in learning about the medical services available in Sonoma County, California.",Q04117,105_Q04117_175_1.jpg,105_Q04117_175_2.jpg,105_Q04117_175_3.jpg
17,"What was the 2008 budget for Cass County, MO?",F0032,107,cass county missouri,would you like to know more about the city,I'm not particularly focused on that at the moment.  ,Q03544,107_Q03544_37_1.jpg,107_Q03544_37_2.jpg,107_Q03544_37_3.jpg,are you interested in a list of homes for sale in cass county,That's not something I need right now.,Q00086,107_Q00086_1943_1.jpg,107_Q00086_1943_2.jpg,107_Q00086_1943_3.jpg,Do you want to see a map?,I'm not interested in that at the moment.,Q04128,107_Q04128_186_1.jpg,107_Q04128_186_2.jpg,107_Q04128_186_3.jpg,there are some interesting historical facts about cass county shall i show them to you,No. I just want to know the 2008 budget for Cass County.,Q02671,107_Q02671_2009_1.jpg,107_Q02671_2009_2.jpg,107_Q02671_2009_3.jpg
18,"What was the 2008 budget for Cass County, MO?",F0032,107,cass county missouri,are you interested in a list of homes for sale in cass county,"No, that’s not what I’m looking for.  ",Q00086,107_Q00086_1943_1.jpg,107_Q00086_1943_2.jpg,107_Q00086_1943_3.jpg,is there any specific information that you are looking for,"No, I don’t need that at the moment.",Q02613,107_Q02613_1841_1.jpg,107_Q02613_1841_2.jpg,107_Q02613_1841_3.jpg,Do you want to see a map?,"I have some specific information in mind, but I'm not looking to explore additional resources right now.",Q04128,107_Q04128_186_1.jpg,107_Q04128_186_2.jpg,107_Q04128_186_3.jpg,there are some interesting historical facts about cass county shall i show them to you,No. I just want to know the 2008 budget for Cass County.,Q02671,107_Q02671_2009_1.jpg,107_Q02671_2009_2.jpg,107_Q02671_2009_3.jpg
19,"What was the 2008 budget for Cass County, MO?",F0032,107,cass county missouri,would you like to know more about the city,"No, I am not particularly interested in that topic.  ",Q03544,107_Q03544_37_1.jpg,107_Q03544_37_2.jpg,107_Q03544_37_3.jpg,Are you looking for things to do in Cass County Missouri?,"No, I have other plans in mind.",Q04127,107_Q04127_185_1.jpg,107_Q04127_185_2.jpg,107_Q04127_185_3.jpg,which part of cass county are you referring to,I'm interested in the budget details for the county as a whole.,Q03051,107_Q03051_2988_1.jpg,107_Q03051_2988_2.jpg,107_Q03051_2988_3.jpg,Are you interested in government offcials from cass county missouri?,"No. I would like to know what the 2008 budget was for Cass County, MO.",Q04125,107_Q04125_183_1.jpg,107_Q04125_183_2.jpg,107_Q04125_183_3.jpg
20,"I am looking for newcomer information for Cass County, Missouri.",F0033,107,cass county missouri,would you like to know more about the city,"I appreciate the offer, but I'm not looking for details about the city right now.  ",Q03544,107_Q03544_37_1.jpg,107_Q03544_37_2.jpg,107_Q03544_37_3.jpg,Are you interested in government offcials from cass county missouri?,That's not something I'm currently looking into.,Q04125,107_Q04125_183_1.jpg,107_Q04125_183_2.jpg,107_Q04125_183_3.jpg,are you looking for a specific part of missouri,"I am not focused on any particular area, but I am gathering general information.",Q00685,107_Q00685_2871_1.jpg,107_Q00685_2871_2.jpg,107_Q00685_2871_3.jpg,which neighborhood in cass county are you interested in,"I'm looking for newcomer information specifically for neighborhoods in Cass County, Missouri.",Q03041,107_Q03041_338_1.jpg,107_Q03041_338_2.jpg,107_Q03041_338_3.jpg
21,"What tourist attractions are in Cass County, MO?",F0035,107,cass county missouri,which part of cass county are you referring to,That's not relevant to what I'm asking about.  ,Q03051,107_Q03051_2988_1.jpg,107_Q03051_2988_2.jpg,107_Q03051_2988_3.jpg,do you want to know about the crime rate in cass county missouri,That's not something I'm interested in.,Q01995,107_Q01995_3872_1.jpg,107_Q01995_3872_2.jpg,107_Q01995_3872_3.jpg,is there any important documents youre trying to access,I am interested in learning about various attractions in a specific area.,Q02610,107_Q02610_1290_1.jpg,107_Q02610_1290_2.jpg,107_Q02610_1290_3.jpg,there are some interesting historical facts about cass county shall i show them to you,What tourist attractions are here.,Q02671,107_Q02671_2009_1.jpg,107_Q02671_2009_2.jpg,107_Q02671_2009_3.jpg
22,What was the relationship between Howard Hughes and Ralph Owen Brewster?,F0039,108,ralph owen brewster,may i tell you about brewsters parents where and when he was born,I prefer to focus on other aspects of his life.  ,Q02650,108_Q02650_934_1.jpg,166_Q02085_933_2.jpg,166_Q02085_933_3.jpg,Are you wanting to see historical items from Ralph Owen Brewster?,"No, I have other interests at the moment.",Q05496,108_Q05496_1554_1.jpg,108_Q05496_1554_2.jpg,108_Q05496_1554_3.jpg,what is ralph owen brewser famous for,I'm interested in understanding more about his connections with others in the industry.,Q02798,108_Q02798_1157_1.jpg,108_Q02798_1157_2.jpg,108_Q02798_1157_3.jpg,would you like to know the political positions ralph owen brewster held,No. I would like to know more about his relationship with Howard Hughes.,Q03620,108_Q03620_2305_1.jpg,108_Q03620_2305_2.jpg,108_Q03620_2305_3.jpg
23,"Find the contact information for the Mayo Clinic in Jacksonville, FL.",F0042,109,mayo clinic jacksonville fl,Are you interested in the buildings at the mayo clinic?,"No, that’s not something I’m considering right now.  ",Q04548,109_Q04548_606_1.jpg,109_Q04548_606_2.jpg,109_Q04548_606_3.jpg,what time are you wanting to visit this clinic,"No, I’m not able to confirm any plans at the moment.",Q02894,109_Q02894_2632_1.jpg,109_Q02894_2632_2.jpg,109_Q02894_2632_3.jpg,would you like to know the address of mayo clinic jacksonville fl,"I'm not specifically interested in the address, but I might want some information related to the clinic.",Q03575,109_Q03575_146_1.jpg,109_Q03575_146_2.jpg,109_Q03575_146_3.jpg,are you located in jacksonville fl,"Yes, I am looking to find the contact information for the Mayo Clinic in Jacksonville, FL.",Q00588,109_Q00588_209_1.jpg,109_Q00588_209_2.jpg,109_Q00588_209_3.jpg
24,"Find the contact information for the Mayo Clinic in Jacksonville, FL.",F0042,109,mayo clinic jacksonville fl,are you looking for a specific doctor at mayo clinic jacksonville fl,I’m not interested in that.  ,Q00671,109_Q00671_3321_1.jpg,109_Q00671_3321_2.jpg,109_Q00671_3321_3.jpg,would you like to know the address of mayo clinic jacksonville fl,That’s not what I need right now.,Q03575,109_Q03575_146_1.jpg,109_Q03575_146_2.jpg,109_Q03575_146_3.jpg,are you looking for outpatient services in mayo clinic,I'm mainly trying to get some information regarding a specific location.,Q00961,109_Q00961_86_1.jpg,109_Q00961_86_2.jpg,109_Q00961_86_3.jpg,are you located in jacksonville fl,"Yes, I am looking to find the contact information for the Mayo Clinic in Jacksonville, FL.",Q00588,109_Q00588_209_1.jpg,109_Q00588_209_2.jpg,109_Q00588_209_3.jpg
25,I'm looking for some free sample GMAT exams to practice on.,F0045,11,gmat prep classes,do you want to know a list of top gmat prep classes,"No, that's not what I'm looking for.  ",Q01962,11_Q01962_640_1.jpg,11_Q01962_640_2.jpg,11_Q01962_640_3.jpg,do you want to know the cost of a gmat prep class,"No, I have other priorities at the moment.",Q02190,11_Q02190_1091_1.jpg,11_Q02190_1091_2.jpg,11_Q02190_1091_3.jpg,any specific company on your mind,"I'm primarily interested in exploring available practice resources, but I haven't settled on any particular option yet.",Q00006,11_Q00006_1983_1.jpg,11_Q00006_1983_2.jpg,11_Q00006_1983_3.jpg,Do you also want information on GRE preparation?,Yes but I only need free sample GMAT exams to practice on.,Q04748,11_Q04748_806_1.jpg,11_Q04748_806_2.jpg,11_Q04748_806_3.jpg
26,I'm looking for some free sample GMAT exams to practice on.,F0045,11,gmat prep classes,would you like to see the most effective methods of gmat prep,"No, I'm not interested in exploring that right now.  ",Q03901,11_Q03901_2706_1.jpg,11_Q03901_2706_2.jpg,11_Q03901_2706_3.jpg,Would you like some GMAT preparation tips?,"No, I'm fine without those suggestions at the moment.",Q04747,11_Q04747_805_1.jpg,11_Q04747_805_2.jpg,11_Q04747_805_3.jpg,would you like to know what distinguishes gmat from gre,I'm mainly interested in practicing with some sample tests.,Q03652,11_Q03652_1570_1.jpg,11_Q03652_1570_2.jpg,11_Q03652_1570_3.jpg,any specific company on your mind,I don’t,Q00006,11_Q00006_1983_1.jpg,11_Q00006_1983_2.jpg,11_Q00006_1983_3.jpg
27,I'd like to find some tips to help me do well on the GMAT.,F0046,11,gmat prep classes,Are you looking for online gmat prep classes?,"No, I'm not interested in those options.  ",Q04746,11_Q04746_804_1.jpg,11_Q04746_804_2.jpg,11_Q04746_804_3.jpg,would you like to see a price range for gmat prep classes,"No, I'm not looking for that information.",Q03827,11_Q03827_756_1.jpg,11_Q03827_756_2.jpg,11_Q03827_756_3.jpg,are you looking for some sample tests,I'm interested in some strategies to improve my performance on this test.,Q01019,11_Q01019_226_1.jpg,11_Q01019_226_2.jpg,11_Q01019_226_3.jpg,do you want to know a list of top gmat prep classes,I'm more interested in finding some tips to help me do well on the GMAT than just a list of prep classes.,Q01962,11_Q01962_640_1.jpg,11_Q01962_640_2.jpg,11_Q01962_640_3.jpg
28,What's the difference between the GRE and the GMAT?,F0049,11,gmat prep classes,Would you like some GMAT preparation tips?,"No, I'm not interested in that at the moment.  ",Q04747,11_Q04747_805_1.jpg,11_Q04747_805_2.jpg,11_Q04747_805_3.jpg,are you looking for an online or inperson gmat prep class,"No, that's not something I'm considering right now.",Q00733,11_Q00733_3285_1.jpg,11_Q00733_3285_2.jpg,11_Q00733_3285_3.jpg,are you looking for some sample tests,I have a particular interest in understanding standardized tests better right now.,Q01019,11_Q01019_226_1.jpg,11_Q01019_226_2.jpg,11_Q01019_226_3.jpg,are you looking for a specific web site,Let me see pictues 1 and 3 in more detail.,Q00697,11_Q00697_1356_1.jpg,11_Q00697_1356_2.jpg,11_Q00697_1356_3.jpg
29,What are the boundaries of the political jurisdictions in Brazil?,F0050,110,map of brazil,what city are you looking for in brazil,I’m not interested in that at the moment.  ,Q02748,110_Q02748_877_1.jpg,110_Q02748_877_2.jpg,110_Q02748_877_3.jpg,would you like a book that has lots of maps of brazil,"No, I prefer to focus on other topics.",Q03152,110_Q03152_3499_1.jpg,110_Q03152_3499_2.jpg,110_Q03152_3499_3.jpg,are you searching for a map that shows the bodies of water in brazil,I’m more interested in understanding the political landscape rather than focusing on maps of water bodies.,Q01300,110_Q01300_3072_1.jpg,110_Q01300_3072_2.jpg,110_Q01300_3072_3.jpg,Would you like to see the topographic image?,What is most important for me is the political bounderies so the one on the right is more useful.,Q04969,110_Q04969_1027_1.jpg,110_Q04969_1027_2.jpg,110_Q04969_1027_3.jpg
30,What are the boundaries of the political jurisdictions in Brazil?,F0050,110,map of brazil,what city are you looking for in brazil,1. I'm not interested in that information right now.  ,Q02748,110_Q02748_877_1.jpg,110_Q02748_877_2.jpg,110_Q02748_877_3.jpg,would you like a transportation map of brazil,"2. No, I have everything I need at the moment.",Q03188,110_Q03188_3914_1.jpg,110_Q03188_3914_2.jpg,110_Q03188_3914_3.jpg,Do you want to see the map of brazil?,I'm interested in a detailed representation of the regions.,Q04970,110_Q04970_1028_1.jpg,110_Q04970_1028_2.jpg,110_Q04970_1028_3.jpg,what are you trying to find in brazil,the boundaries of political jurisdictions,Q02714,110_Q02714_2975_1.jpg,110_Q02714_2975_2.jpg,110_Q02714_2975_3.jpg
31,reviews of Kenmore gas water heaters,F0056,112,kenmore gas water heater,Would you also like to see a tankless gas water heater?,"No, I'm not interested in that option.  ",Q04189,112_Q04189_247_1.jpg,112_Q04189_247_2.jpg,112_Q04189_247_3.jpg,are you looking for the instruction of the kenmore sears gas water heaters,"No, I'm not seeking that information.",Q01075,112_Q01075_394_1.jpg,112_Q01075_394_2.jpg,112_Q01075_394_3.jpg,what year model are you looking for,"I'm interested in finding some reviews, especially for newer options available.",Q02973,112_Q02973_2257_1.jpg,112_Q02973_2257_2.jpg,112_Q02973_2257_3.jpg,are you troubleshooting or trying to repair the unit,I'm not currently troubleshooting or trying to repair the unit; I'm more interested in reviews of Kenmore gas water heaters.,Q01344,112_Q01344_15_1.jpg,112_Q01344_15_2.jpg,112_Q01344_15_3.jpg
32,reviews of Kenmore gas water heaters,F0056,112,kenmore gas water heater,Would you also like to see a tankless gas water heater?,"No, I prefer to stick with what I currently have.  ",Q04189,112_Q04189_247_1.jpg,112_Q04189_247_2.jpg,112_Q04189_247_3.jpg,would you like to know how much a kenmore gas water heater is,"No, I'm not interested in that information right now.",Q03466,112_Q03466_779_1.jpg,112_Q03466_779_2.jpg,112_Q03466_779_3.jpg,would you like me to find the nearest kenmore store for you,"I’m not currently interested in store locations, but I have other preferences in mind.",Q03244,112_Q03244_2359_1.jpg,112_Q03244_2359_2.jpg,112_Q03244_2359_3.jpg,do you want to compare different models,"Yes, I would like to compare different models of Kenmore gas water heaters.",Q01921,112_Q01921_3930_1.jpg,112_Q01921_3930_2.jpg,112_Q01921_3930_3.jpg
33,retailers of and price information for Kenmore gas water heaters,F0059,112,kenmore gas water heater,what size are you looking for,I'm not interested in that right now.  ,Q02874,112_Q02874_3494_1.jpg,112_Q02874_3494_2.jpg,112_Q02874_3494_3.jpg,Would you also like to see a tankless gas water heater?,I prefer to focus on other options instead.,Q04189,112_Q04189_247_1.jpg,112_Q04189_247_2.jpg,112_Q04189_247_3.jpg,Are you concerned about the pilot light?,I'm not overly focused on that aspect at the moment.,Q04185,112_Q04185_243_1.jpg,112_Q04185_243_2.jpg,112_Q04185_243_3.jpg,are you troubleshooting or trying to repair the unit,I don't have one yet. For now I'm just looking at retailers and price information for them.,Q01344,112_Q01344_15_1.jpg,112_Q01344_15_2.jpg,112_Q01344_15_3.jpg
34,retailers of and price information for Kenmore gas water heaters,F0059,112,kenmore gas water heater,Were you needing a kenmore gas water heater pilot assembly?,"No, I am not in need of that item.  ",Q04188,112_Q04188_246_1.jpg,112_Q04188_246_2.jpg,112_Q04188_246_3.jpg,are you looking for the instruction of the kenmore sears gas water heaters,"No, I am not seeking that information.",Q01075,112_Q01075_394_1.jpg,112_Q01075_394_2.jpg,112_Q01075_394_3.jpg,what year model are you looking for,"I’m not certain yet, but I would like to explore some options for stores or websites that can provide me with pricing information.",Q02973,112_Q02973_2257_1.jpg,112_Q02973_2257_2.jpg,112_Q02973_2257_3.jpg,do you want to compare different models,"Yes, I want to compare different models of Kenmore gas water heaters and their price information.",Q01921,112_Q01921_3930_1.jpg,112_Q01921_3930_2.jpg,112_Q01921_3930_3.jpg
